
   time: 4443.413 dt:   0.08889 mass:   2.654
      X         N         T         U         P        Q         JM
   0.0250   2.92283   0.96135   0.39853   2.80986   0.04938   1.16485
   0.0750   2.77599   0.94478   0.43171   2.62270   0.02702   1.19841
   0.1250   2.70611   0.93697   0.44818   2.53554   0.01442   1.21283
   0.1750   2.67047   0.93276   0.45684   2.49090   0.00816   1.21999
   0.2250   2.65135   0.93027   0.46170   2.46648   0.00512   1.22411
   0.2750   2.64062   0.92869   0.46461   2.45232   0.00359   1.22687
   0.3250   2.63430   0.92761   0.46652   2.44359   0.00277   1.22895
   0.3750   2.63035   0.92681   0.46788   2.43783   0.00228   1.23069
   0.4250   2.62772   0.92617   0.46893   2.43372   0.00198   1.23222
   0.4750   2.62581   0.92564   0.46981   2.43054   0.00175   1.23362
   0.5250   2.62429   0.92517   0.47059   2.42791   0.00155   1.23495
   0.5750   2.62300   0.92474   0.47130   2.42560   0.00138   1.23622
   0.6250   2.62183   0.92435   0.47198   2.42349   0.00121   1.23744
   0.6750   2.62071   0.92399   0.47262   2.42152   0.00104   1.23860
   0.7250   2.61962   0.92366   0.47325   2.41964   0.00088   1.23973
   0.7750   2.61851   0.92336   0.47386   2.41784   0.00068   1.24080
   0.8250   2.61737   0.92310   0.47446   2.41610   0.00044   1.24183
   0.8750   2.61616   0.92288   0.47505   2.41440   0.00016   1.24281
   0.9250   2.61482   0.92271   0.47565   2.41273   0.00020   1.24373
   0.9750   2.61325   0.92262   0.47625   2.41104   0.00071   1.24455
