
   time: 4443.413 dt:   0.08889 mass:   2.188
      X         N         T         U         P        Q         JM
  49.0250   2.19715   1.07227   0.54611   2.35594   0.00666   1.19990
  49.0750   2.20162   1.07288   0.54492   2.36207   0.00545   1.19971
  49.1250   2.20419   1.07323   0.54436   2.36561   0.00490   1.19989
  49.1750   2.20575   1.07348   0.54414   2.36783   0.00472   1.20023
  49.2250   2.20670   1.07368   0.54409   2.36930   0.00477   1.20065
  49.2750   2.20727   1.07387   0.54417   2.37033   0.00498   1.20112
  49.3250   2.20754   1.07408   0.54432   2.37107   0.00535   1.20161
  49.3750   2.20755   1.07433   0.54455   2.37162   0.00588   1.20212
  49.4250   2.20728   1.07464   0.54485   2.37202   0.00661   1.20263
  49.4750   2.20668   1.07504   0.54523   2.37228   0.00766   1.20315
  49.5250   2.20567   1.07559   0.54572   2.37238   0.00907   1.20367
  49.5750   2.20411   1.07631   0.54634   2.37231   0.01101   1.20420
  49.6250   2.20178   1.07730   0.54716   2.37198   0.01370   1.20473
  49.6750   2.19841   1.07864   0.54824   2.37130   0.01743   1.20525
  49.7250   2.19351   1.08048   0.54969   2.37003   0.02264   1.20575
  49.7750   2.18631   1.08298   0.55169   2.36773   0.03003   1.20617
  49.8250   2.17537   1.08639   0.55452   2.36330   0.04070   1.20629
  49.8750   2.15776   1.09094   0.55871   2.35399   0.05656   1.20556
  49.9250   2.12678   1.09661   0.56535   2.33224   0.08136   1.20237
  49.9750   2.06627   1.10158   0.57718   2.27617   0.12305   1.19260
