      xx/10.          rhoa          temp           vel      vel*rhoa
         [-]           [-]           [-]           [-]           [-]
 1.02500E+00   2.41764E+00   9.03746E-01   5.46269E-01   1.32068E+00
 1.07500E+00   2.40860E+00   9.07915E-01   5.46818E-01   1.31707E+00
 1.12500E+00   2.39734E+00   9.12750E-01   5.47828E-01   1.31333E+00
 1.17500E+00   2.38377E+00   9.18187E-01   5.49394E-01   1.30963E+00
 1.22500E+00   2.36811E+00   9.24103E-01   5.51565E-01   1.30617E+00
 1.27500E+00   2.35074E+00   9.30327E-01   5.54352E-01   1.30314E+00
 1.32500E+00   2.33217E+00   9.36654E-01   5.57732E-01   1.30073E+00
 1.37500E+00   2.31297E+00   9.42876E-01   5.61645E-01   1.29907E+00
 1.42500E+00   2.29366E+00   9.48814E-01   5.66006E-01   1.29823E+00
 1.47500E+00   2.27464E+00   9.54351E-01   5.70713E-01   1.29816E+00
 1.52500E+00   2.25618E+00   9.59421E-01   5.75660E-01   1.29879E+00
 1.57500E+00   2.23843E+00   9.64003E-01   5.80747E-01   1.29996E+00
 1.62500E+00   2.22141E+00   9.68123E-01   5.85881E-01   1.30148E+00
 1.67500E+00   2.20505E+00   9.71846E-01   5.90982E-01   1.30314E+00
 1.72500E+00   2.18916E+00   9.75261E-01   5.95982E-01   1.30470E+00
 1.77500E+00   2.17356E+00   9.78472E-01   6.00831E-01   1.30594E+00
 1.82500E+00   2.15801E+00   9.81583E-01   6.05492E-01   1.30666E+00
 1.87500E+00   2.14231E+00   9.84692E-01   6.09939E-01   1.30668E+00
 1.92500E+00   2.12631E+00   9.87875E-01   6.14157E-01   1.30589E+00
 1.97500E+00   2.10991E+00   9.91190E-01   6.18139E-01   1.30421E+00
 2.02500E+00   2.09308E+00   9.94661E-01   6.21880E-01   1.30164E+00
 2.07500E+00   2.07589E+00   9.98288E-01   6.25382E-01   1.29822E+00
 2.12500E+00   2.05847E+00   1.00204E+00   6.28643E-01   1.29404E+00
 2.17500E+00   2.04102E+00   1.00587E+00   6.31666E-01   1.28924E+00
 2.22500E+00   2.02377E+00   1.00970E+00   6.34447E-01   1.28398E+00
 2.27500E+00   2.00699E+00   1.01346E+00   6.36986E-01   1.27842E+00
 2.32500E+00   1.99092E+00   1.01708E+00   6.39282E-01   1.27276E+00
 2.37500E+00   1.97580E+00   1.02048E+00   6.41333E-01   1.26715E+00
