      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   2.32220E+15   7.29212E+06   1.77713E-01   2.60489E-05   1.39069E-08
 1.07500E+00   3.46020E+15   1.06731E+07   3.02079E-01   4.47516E-05   1.45827E-08
 1.12500E+00   4.69380E+15   1.26247E+07   4.81799E-01   7.22986E-05   1.54574E-08
 1.17500E+00   6.08524E+15   1.92674E+07   7.41258E-01   1.11885E-04   1.63971E-08
 1.22500E+00   7.70584E+15   2.91262E+07   1.10855E+00   1.67554E-04   1.73399E-08
 1.27500E+00   9.63711E+15   4.26133E+07   1.61827E+00   2.44311E-04   1.82502E-08
 1.32500E+00   1.19700E+16   6.07672E+07   2.31283E+00   3.48218E-04   1.91068E-08
 1.37500E+00   1.48019E+16   8.50113E+07   3.24327E+00   4.86453E-04   1.98995E-08
 1.42500E+00   1.82327E+16   1.17127E+08   4.46976E+00   6.67318E-04   2.06267E-08
 1.47500E+00   2.23597E+16   1.59267E+08   6.06157E+00   9.00172E-04   2.12922E-08
 1.52500E+00   2.72739E+16   2.13960E+08   8.09655E+00   1.19527E-03   2.19032E-08
 1.57500E+00   3.30570E+16   2.84112E+08   1.06599E+01   1.56352E-03   2.24672E-08
 1.62500E+00   3.97803E+16   3.72981E+08   1.38420E+01   2.01604E-03   2.29903E-08
 1.67500E+00   4.75041E+16   4.84132E+08   1.77356E+01   2.56372E-03   2.34773E-08
 1.72500E+00   5.62774E+16   6.21364E+08   2.24319E+01   3.21653E-03   2.39306E-08
 1.77500E+00   6.61365E+16   7.88593E+08   2.80157E+01   3.98285E-03   2.43511E-08
 1.82500E+00   7.71038E+16   9.89703E+08   3.45603E+01   4.86865E-03   2.47388E-08
 1.87500E+00   8.91866E+16   1.22835E+09   4.21213E+01   5.87670E-03   2.50926E-08
 1.92500E+00   1.02376E+17   1.50776E+09   5.07310E+01   7.00591E-03   2.54111E-08
 1.97500E+00   1.16647E+17   1.83047E+09   6.03929E+01   8.25073E-03   2.56926E-08
 2.02500E+00   1.31955E+17   2.19810E+09   7.10775E+01   9.60084E-03   2.59356E-08
 2.07500E+00   1.48242E+17   2.61120E+09   8.27201E+01   1.10412E-02   2.61387E-08
 2.12500E+00   1.65430E+17   3.06911E+09   9.52203E+01   1.25525E-02   2.63011E-08
 2.17500E+00   1.83424E+17   3.56989E+09   1.08445E+02   1.41119E-02   2.64227E-08
 2.22500E+00   2.02117E+17   4.11041E+09   1.22231E+02   1.56940E-02   2.65040E-08
 2.27500E+00   2.21383E+17   4.68636E+09   1.36398E+02   1.72726E-02   2.65464E-08
 2.32500E+00   2.41085E+17   5.29248E+09   1.50750E+02   1.88220E-02   2.65522E-08
 2.37500E+00   2.61072E+17   5.92273E+09   1.65090E+02   2.03184E-02   2.65243E-08
 2.42500E+00   2.81186E+17   6.57053E+09   1.79227E+02   2.17412E-02   2.64666E-08
 2.47500E+00   3.01257E+17   7.22904E+09   1.92986E+02   2.30737E-02   2.63833E-08
 2.52500E+00   3.21112E+17   7.89138E+09   2.06212E+02   2.43040E-02   2.62790E-08
 2.57500E+00   3.40574E+17   8.55059E+09   2.18773E+02   2.54244E-02   2.61586E-08
 2.62500E+00   3.59464E+17   9.19943E+09   2.30567E+02   2.64316E-02   2.60270E-08
 2.67500E+00   3.77608E+17   9.82999E+09   2.41515E+02   2.73261E-02   2.58889E-08
 2.72500E+00   3.94834E+17   1.04338E+10   2.51564E+02   2.81113E-02   2.57488E-08
 2.77500E+00   4.10980E+17   1.10030E+10   2.60682E+02   2.87928E-02   2.56108E-08
 2.82500E+00   4.25894E+17   1.15321E+10   2.68858E+02   2.93776E-02   2.54785E-08
 2.87500E+00   4.39437E+17   1.20198E+10   2.76094E+02   2.98739E-02   2.53552E-08
 2.92500E+00   4.51486E+17   1.24680E+10   2.82402E+02   3.02896E-02   2.52436E-08
 2.97500E+00   4.61933E+17   1.28776E+10   2.87801E+02   3.06330E-02   2.51462E-08
 3.02500E+00   4.70691E+17   1.32422E+10   2.92313E+02   3.09116E-02   2.50648E-08
 3.07500E+00   4.77692E+17   1.35454E+10   2.95961E+02   3.11325E-02   2.50010E-08
 3.12500E+00   4.82889E+17   1.37628E+10   2.98772E+02   3.13018E-02   2.49561E-08
 3.17500E+00   4.86255E+17   1.38748E+10   3.00777E+02   3.14251E-02   2.49310E-08
 3.22500E+00   4.87784E+17   1.38931E+10   3.02010E+02   3.15070E-02   2.49265E-08
 3.27500E+00   4.87492E+17   1.39050E+10   3.02504E+02   3.15513E-02   2.49431E-08
 3.32500E+00   4.85413E+17   1.39103E+10   3.02290E+02   3.15611E-02   2.49813E-08
 3.37500E+00   4.81599E+17   1.38427E+10   3.01391E+02   3.15392E-02   2.50413E-08
 3.42500E+00   4.76120E+17   1.37053E+10   2.99830E+02   3.14873E-02   2.51232E-08
 3.47500E+00   4.69062E+17   1.35112E+10   2.97633E+02   3.14069E-02   2.52271E-08
 3.52500E+00   4.60524E+17   1.32691E+10   2.94823E+02   3.12992E-02   2.53529E-08
 3.57500E+00   4.50616E+17   1.29835E+10   2.91423E+02   3.11648E-02   2.55008E-08
 3.62500E+00   4.39459E+17   1.26576E+10   2.87456E+02   3.10043E-02   2.56706E-08
 3.67500E+00   4.27181E+17   1.22941E+10   2.82946E+02   3.08180E-02   2.58622E-08
 3.72500E+00   4.13914E+17   1.18964E+10   2.77917E+02   3.06062E-02   2.60756E-08
 3.77500E+00   3.99798E+17   1.14678E+10   2.72396E+02   3.03690E-02   2.63107E-08
 3.82500E+00   3.84970E+17   1.10123E+10   2.66410E+02   3.01069E-02   2.65673E-08
 3.87500E+00   3.69570E+17   1.05337E+10   2.59991E+02   2.98204E-02   2.68456E-08
 3.92500E+00   3.53735E+17   1.00360E+10   2.53170E+02   2.95100E-02   2.71455E-08
 3.97500E+00   3.37600E+17   9.52334E+09   2.45985E+02   2.91769E-02   2.74672E-08
 4.02500E+00   3.21292E+17   8.99979E+09   2.38476E+02   2.88224E-02   2.78107E-08
 4.07500E+00   3.04937E+17   8.46948E+09   2.30684E+02   2.84483E-02   2.81763E-08
 4.12500E+00   2.88651E+17   7.93658E+09   2.22660E+02   2.80570E-02   2.85644E-08
 4.17500E+00   2.72544E+17   7.40523E+09   2.14454E+02   2.76514E-02   2.89753E-08
 4.22500E+00   2.56716E+17   6.87953E+09   2.06122E+02   2.72348E-02   2.94098E-08
 4.27500E+00   2.41260E+17   6.36350E+09   1.97724E+02   2.68114E-02   2.98685E-08
 4.32500E+00   2.26261E+17   5.86098E+09   1.89324E+02   2.63858E-02   3.03521E-08
 4.37500E+00   2.11793E+17   5.37561E+09   1.80987E+02   2.59632E-02   3.08615E-08
 4.42500E+00   1.97922E+17   4.91071E+09   1.72783E+02   2.55493E-02   3.13976E-08
 4.47500E+00   1.84704E+17   4.46930E+09   1.64780E+02   2.51501E-02   3.19612E-08
 4.52500E+00   1.72190E+17   4.05404E+09   1.57049E+02   2.47720E-02   3.25526E-08
 4.57500E+00   1.60419E+17   3.66719E+09   1.49658E+02   2.44215E-02   3.31722E-08
 4.62500E+00   1.49424E+17   3.31062E+09   1.42673E+02   2.41047E-02   3.38191E-08
 4.67500E+00   1.39231E+17   2.98578E+09   1.36155E+02   2.38279E-02   3.44920E-08
 4.72500E+00   1.29860E+17   2.69372E+09   1.30162E+02   2.35966E-02   3.51879E-08
 4.77500E+00   1.21324E+17   2.43500E+09   1.24743E+02   2.34157E-02   3.59022E-08
 4.82500E+00   1.13632E+17   2.20979E+09   1.19942E+02   2.32891E-02   3.66285E-08
 4.87500E+00   1.06787E+17   2.01781E+09   1.15791E+02   2.32199E-02   3.73578E-08
 4.92500E+00   1.00789E+17   1.85850E+09   1.12316E+02   2.32097E-02   3.80791E-08
 4.97500E+00   9.56336E+16   1.73108E+09   1.09531E+02   2.32590E-02   3.87788E-08
 5.02500E+00   9.13139E+16   1.63464E+09   1.07443E+02   2.33669E-02   3.94418E-08
 5.07500E+00   8.78205E+16   1.56811E+09   1.06047E+02   2.35314E-02   4.00515E-08
 5.12500E+00   8.51417E+16   1.52955E+09   1.05331E+02   2.37491E-02   4.05916E-08
 5.17500E+00   8.32640E+16   1.51932E+09   1.05274E+02   2.40155E-02   4.10469E-08
 5.22500E+00   8.21725E+16   1.51894E+09   1.05851E+02   2.43253E-02   4.14043E-08
 5.27500E+00   8.18509E+16   1.51858E+09   1.07028E+02   2.46724E-02   4.16547E-08
 5.32500E+00   8.22818E+16   1.53542E+09   1.08772E+02   2.50502E-02   4.17931E-08
 5.37500E+00   8.34468E+16   1.60011E+09   1.11046E+02   2.54518E-02   4.18187E-08
 5.42500E+00   8.53267E+16   1.69494E+09   1.13805E+02   2.58702E-02   4.17356E-08
 5.47500E+00   8.79013E+16   1.80844E+09   1.17006E+02   2.62986E-02   4.15509E-08
 5.52500E+00   9.11493E+16   1.93456E+09   1.20601E+02   2.67306E-02   4.12750E-08
 5.57500E+00   9.50488E+16   2.07109E+09   1.24547E+02   2.71603E-02   4.09195E-08
 5.62500E+00   9.95764E+16   2.21830E+09   1.28799E+02   2.75823E-02   4.04973E-08
 5.67500E+00   1.04708E+17   2.37733E+09   1.33318E+02   2.79923E-02   4.00210E-08
 5.72500E+00   1.10418E+17   2.54931E+09   1.38064E+02   2.83866E-02   3.95027E-08
 5.77500E+00   1.16678E+17   2.73497E+09   1.43002E+02   2.87625E-02   3.89535E-08
 5.82500E+00   1.23462E+17   2.93467E+09   1.48100E+02   2.91183E-02   3.83836E-08
 5.87500E+00   1.30737E+17   3.14868E+09   1.53330E+02   2.94533E-02   3.78019E-08
 5.92500E+00   1.38473E+17   3.37752E+09   1.58666E+02   2.97677E-02   3.72159E-08
 5.97500E+00   1.46635E+17   3.62234E+09   1.64089E+02   3.00628E-02   3.66324E-08
 6.02500E+00   1.55187E+17   3.88492E+09   1.69581E+02   3.03407E-02   3.60572E-08
 6.07500E+00   1.64091E+17   4.16734E+09   1.75130E+02   3.06045E-02   3.54951E-08
 6.12500E+00   1.73308E+17   4.47107E+09   1.80724E+02   3.08572E-02   3.49500E-08
 6.17500E+00   1.82796E+17   4.79627E+09   1.86334E+02   3.10967E-02   3.44232E-08
 6.22500E+00   1.92510E+17   5.14297E+09   1.91929E+02   3.13214E-02   3.39155E-08
 6.27500E+00   2.02404E+17   5.51128E+09   1.97483E+02   3.15301E-02   3.34275E-08
 6.32500E+00   2.12432E+17   5.90123E+09   2.02970E+02   3.17220E-02   3.29596E-08
 6.37500E+00   2.22543E+17   6.31255E+09   2.08366E+02   3.18968E-02   3.25122E-08
 6.42500E+00   2.32686E+17   6.74448E+09   2.13648E+02   3.20545E-02   3.20854E-08
 6.47500E+00   2.42811E+17   7.19556E+09   2.18795E+02   3.21952E-02   3.16793E-08
 6.52500E+00   2.52864E+17   7.66367E+09   2.23786E+02   3.23192E-02   3.12939E-08
 6.57500E+00   2.62791E+17   8.14600E+09   2.28600E+02   3.24269E-02   3.09290E-08
