      xx/10.      ss_ratio
         [-]           [-]
 1.02500E+00   9.41907E+00
 1.07500E+00   9.28673E+00
 1.12500E+00   9.10366E+00
 1.17500E+00   8.87066E+00
 1.22500E+00   8.58837E+00
 1.27500E+00   8.25878E+00
 1.32500E+00   7.88581E+00
 1.37500E+00   7.47571E+00
 1.42500E+00   7.03682E+00
 1.47500E+00   6.57906E+00
 1.52500E+00   6.11331E+00
 1.57500E+00   5.65044E+00
 1.62500E+00   5.20041E+00
 1.67500E+00   4.77172E+00
 1.72500E+00   4.37082E+00
 1.77500E+00   4.00222E+00
 1.82500E+00   3.66829E+00
 1.87500E+00   3.36971E+00
 1.92500E+00   3.10573E+00
 1.97500E+00   2.87466E+00
 2.02500E+00   2.67414E+00
 2.07500E+00   2.50142E+00
 2.12500E+00   2.35372E+00
 2.17500E+00   2.22829E+00
 2.22500E+00   2.12252E+00
 2.27500E+00   2.03402E+00
 2.32500E+00   1.96069E+00
 2.37500E+00   1.90070E+00
 2.42500E+00   1.85246E+00
 2.47500E+00   1.81464E+00
 2.52500E+00   1.78608E+00
 2.57500E+00   1.76582E+00
 2.62500E+00   1.75302E+00
 2.67500E+00   1.74695E+00
 2.72500E+00   1.74696E+00
 2.77500E+00   1.75245E+00
 2.82500E+00   1.76284E+00
 2.87500E+00   1.77753E+00
 2.92500E+00   1.79586E+00
 2.97500E+00   1.81713E+00
 3.02500E+00   1.84057E+00
 3.07500E+00   1.86530E+00
 3.12500E+00   1.89034E+00
 3.17500E+00   1.91462E+00
 3.22500E+00   1.93701E+00
 3.27500E+00   1.95636E+00
 3.32500E+00   1.97153E+00
 3.37500E+00   1.98143E+00
 3.42500E+00   1.98516E+00
 3.47500E+00   1.98199E+00
 3.52500E+00   1.97146E+00
 3.57500E+00   1.95340E+00
 3.62500E+00   1.92793E+00
 3.67500E+00   1.89550E+00
 3.72500E+00   1.85680E+00
 3.77500E+00   1.81279E+00
 3.82500E+00   1.76453E+00
 3.87500E+00   1.71318E+00
 3.92500E+00   1.65991E+00
 3.97500E+00   1.60585E+00
 4.02500E+00   1.55202E+00
 4.07500E+00   1.49933E+00
 4.12500E+00   1.44853E+00
 4.17500E+00   1.40021E+00
 4.22500E+00   1.35480E+00
 4.27500E+00   1.31260E+00
 4.32500E+00   1.27378E+00
 4.37500E+00   1.23838E+00
 4.42500E+00   1.20638E+00
 4.47500E+00   1.17766E+00
 4.52500E+00   1.15208E+00
 4.57500E+00   1.12945E+00
 4.62500E+00   1.10955E+00
 4.67500E+00   1.09216E+00
 4.72500E+00   1.07707E+00
 4.77500E+00   1.06403E+00
 4.82500E+00   1.05283E+00
 4.87500E+00   1.04328E+00
 4.92500E+00   1.03517E+00
 4.97500E+00   1.02831E+00
 5.02500E+00   1.02256E+00
 5.07500E+00   1.01777E+00
 5.12500E+00   1.01380E+00
 5.17500E+00   1.01053E+00
 5.22500E+00   1.00785E+00
 5.27500E+00   1.00568E+00
 5.32500E+00   1.00393E+00
 5.37500E+00   1.00254E+00
 5.42500E+00   1.00144E+00
 5.47500E+00   1.00057E+00
 5.52500E+00   9.99888E-01
 5.57500E+00   9.99335E-01
 5.62500E+00   9.98906E-01
 5.67500E+00   9.98585E-01
 5.72500E+00   9.98358E-01
 5.77500E+00   9.98216E-01
 5.82500E+00   9.98143E-01
 5.87500E+00   9.98123E-01
 5.92500E+00   9.98150E-01
 5.97500E+00   9.98219E-01
 6.02500E+00   9.98317E-01
 6.07500E+00   9.98439E-01
 6.12500E+00   9.98583E-01
 6.17500E+00   9.98741E-01
 6.22500E+00   9.98908E-01
 6.27500E+00   9.99078E-01
 6.32500E+00   9.99247E-01
 6.37500E+00   9.99411E-01
 6.42500E+00   9.99572E-01
 6.47500E+00   9.99725E-01
 6.52500E+00   9.99874E-01
 6.57500E+00   1.00001E+00
 6.62500E+00   1.00015E+00
 6.67500E+00   1.00027E+00
 6.72500E+00   1.00039E+00
 6.77500E+00   1.00052E+00
 6.82500E+00   1.00064E+00
 6.87500E+00   1.00076E+00
 6.92500E+00   1.00089E+00
 6.97500E+00   1.00101E+00
 7.02500E+00   1.00113E+00
 7.07500E+00   1.00126E+00
 7.12500E+00   1.00139E+00
 7.17500E+00   1.00151E+00
 7.22500E+00   1.00164E+00
 7.27500E+00   1.00176E+00
 7.32500E+00   1.00189E+00
 7.37500E+00   1.00201E+00
 7.42500E+00   1.00214E+00
 7.47500E+00   1.00227E+00
 7.52500E+00   1.00239E+00
 7.57500E+00   1.00252E+00
 7.62500E+00   1.00264E+00
 7.67500E+00   1.00275E+00
 7.72500E+00   1.00286E+00
 7.77500E+00   1.00296E+00
 7.82500E+00   1.00305E+00
 7.87500E+00   1.00314E+00
 7.92500E+00   1.00322E+00
 7.97500E+00   1.00330E+00
 8.02500E+00   1.00336E+00
 8.07500E+00   1.00341E+00
 8.12500E+00   1.00346E+00
 8.17500E+00   1.00349E+00
 8.22500E+00   1.00352E+00
 8.27500E+00   1.00353E+00
 8.32500E+00   1.00353E+00
 8.37500E+00   1.00353E+00
 8.42500E+00   1.00351E+00
 8.47500E+00   1.00349E+00
 8.52500E+00   1.00346E+00
 8.57500E+00   1.00342E+00
 8.62500E+00   1.00338E+00
 8.67500E+00   1.00333E+00
 8.72500E+00   1.00328E+00
 8.77500E+00   1.00322E+00
 8.82500E+00   1.00316E+00
 8.87500E+00   1.00311E+00
 8.92500E+00   1.00305E+00
 8.97500E+00   1.00299E+00
 9.02500E+00   1.00294E+00
 9.07500E+00   1.00289E+00
 9.12500E+00   1.00283E+00
 9.17500E+00   1.00277E+00
 9.22500E+00   1.00272E+00
 9.27500E+00   1.00267E+00
 9.32500E+00   1.00263E+00
 9.37500E+00   1.00258E+00
 9.42500E+00   1.00254E+00
 9.47500E+00   1.00250E+00
 9.52500E+00   1.00246E+00
 9.57500E+00   1.00242E+00
 9.62500E+00   1.00238E+00
 9.67500E+00   1.00234E+00
 9.72500E+00   1.00231E+00
 9.77500E+00   1.00227E+00
 9.82500E+00   1.00222E+00
 9.87500E+00   1.00218E+00
 9.92500E+00   1.00214E+00
 9.97500E+00   1.00210E+00
 1.00250E+01   1.00205E+00
 1.00750E+01   1.00199E+00
 1.01250E+01   1.00193E+00
 1.01750E+01   1.00186E+00
 1.02250E+01   1.00178E+00
 1.02750E+01   1.00169E+00
 1.03250E+01   1.00157E+00
 1.03750E+01   1.00143E+00
 1.04250E+01   1.00128E+00
 1.04750E+01   1.00109E+00
 1.05250E+01   1.00086E+00
 1.05750E+01   1.00060E+00
 1.06250E+01   1.00029E+00
 1.06750E+01   9.99923E-01
 1.07250E+01   9.99489E-01
 1.07750E+01   9.99004E-01
 1.08250E+01   9.98485E-01
 1.08750E+01   9.97929E-01
 1.09250E+01   9.97352E-01
 1.09750E+01   9.96757E-01
 1.10250E+01   9.96148E-01
 1.10750E+01   9.95530E-01
 1.11250E+01   9.94907E-01
 1.11750E+01   9.94280E-01
 1.12250E+01   9.93651E-01
 1.12750E+01   9.93020E-01
 1.13250E+01   9.92397E-01
 1.13750E+01   9.91774E-01
 1.14250E+01   9.91162E-01
 1.14750E+01   9.90558E-01
 1.15250E+01   9.89954E-01
 1.15750E+01   9.89361E-01
 1.16250E+01   9.88775E-01
 1.16750E+01   9.88192E-01
 1.17250E+01   9.87614E-01
 1.17750E+01   9.87041E-01
 1.18250E+01   9.86479E-01
 1.18750E+01   9.85915E-01
 1.19250E+01   9.85356E-01
 1.19750E+01   9.84801E-01
 1.20250E+01   9.84247E-01
 1.20750E+01   9.83697E-01
 1.21250E+01   9.83141E-01
 1.21750E+01   9.82589E-01
 1.22250E+01   9.82034E-01
 1.22750E+01   9.81476E-01
 1.23250E+01   9.80915E-01
 1.23750E+01   9.80349E-01
 1.24250E+01   9.79777E-01
 1.24750E+01   9.79199E-01
 1.25250E+01   9.78617E-01
 1.25750E+01   9.78026E-01
 1.26250E+01   9.77431E-01
 1.26750E+01   9.76826E-01
 1.27250E+01   9.76217E-01
 1.27750E+01   9.75599E-01
 1.28250E+01   9.74971E-01
 1.28750E+01   9.74335E-01
