
   time: 3807.390 dt:   0.08889 mass:   2.681
      X         N         T         U         P        Q         JM
   0.0250   2.94482   0.96437   0.39023   2.83989   0.04639   1.14916
   0.0750   2.80179   0.94852   0.42186   2.65755   0.02475   1.18195
   0.1250   2.73425   0.94118   0.43737   2.57341   0.01273   1.19587
   0.1750   2.70001   0.93730   0.44543   2.53072   0.00686   1.20268
   0.2250   2.68167   0.93508   0.44992   2.50756   0.00405   1.20654
   0.2750   2.67127   0.93371   0.45263   2.49419   0.00265   1.20909
   0.3250   2.66500   0.93281   0.45442   2.48593   0.00192   1.21101
   0.3750   2.66088   0.93217   0.45572   2.48039   0.00150   1.21262
   0.4250   2.65791   0.93168   0.45677   2.47633   0.00122   1.21405
   0.4750   2.65554   0.93129   0.45768   2.47307   0.00102   1.21539
   0.5250   2.65348   0.93095   0.45852   2.47025   0.00086   1.21666
   0.5750   2.65156   0.93065   0.45931   2.46767   0.00072   1.21790
   0.6250   2.64970   0.93037   0.46009   2.46521   0.00059   1.21911
   0.6750   2.64784   0.93012   0.46086   2.46282   0.00047   1.22029
   0.7250   2.64596   0.92989   0.46163   2.46045   0.00034   1.22146
   0.7750   2.64402   0.92968   0.46240   2.45810   0.00019   1.22260
   0.8250   2.64201   0.92950   0.46318   2.45575   0.00001   1.22373
   0.8750   2.63990   0.92934   0.46397   2.45338   0.00023   1.22483
   0.9250   2.63761   0.92924   0.46478   2.45096   0.00056   1.22590
   0.9750   2.63501   0.92919   0.46561   2.44842   0.00105   1.22690
