
   time: 3807.302 dt:   0.08889 mass:   2.195
      X         N         T         U         P        Q         JM
  49.0250   2.20733   1.07424   0.55335   2.37120   0.00730   1.22143
  49.0750   2.21145   1.07494   0.55205   2.37717   0.00611   1.22083
  49.1250   2.21365   1.07538   0.55138   2.38052   0.00558   1.22057
  49.1750   2.21481   1.07572   0.55103   2.38252   0.00543   1.22044
  49.2250   2.21536   1.07601   0.55086   2.38376   0.00548   1.22036
  49.2750   2.21549   1.07630   0.55080   2.38455   0.00572   1.22029
  49.3250   2.21532   1.07661   0.55081   2.38504   0.00608   1.22021
  49.3750   2.21488   1.07696   0.55088   2.38534   0.00661   1.22012
  49.4250   2.21417   1.07737   0.55100   2.38547   0.00734   1.22002
  49.4750   2.21313   1.07787   0.55120   2.38546   0.00834   1.21989
  49.5250   2.21168   1.07850   0.55150   2.38529   0.00973   1.21974
  49.5750   2.20969   1.07931   0.55192   2.38494   0.01160   1.21957
  49.6250   2.20695   1.08037   0.55252   2.38433   0.01423   1.21939
  49.6750   2.20316   1.08178   0.55338   2.38334   0.01789   1.21918
  49.7250   2.19788   1.08367   0.55459   2.38177   0.02299   1.21893
  49.7750   2.19034   1.08620   0.55633   2.37916   0.03024   1.21856
  49.8250   2.17913   1.08962   0.55889   2.37442   0.04071   1.21789
  49.8750   2.16135   1.09412   0.56277   2.36478   0.05631   1.21635
  49.9250   2.13034   1.09967   0.56908   2.34267   0.08073   1.21233
  49.9750   2.06999   1.10437   0.58054   2.28603   0.12185   1.20171
