      xx/10.          rhoa          temp           vel      vel*rhoa
         [-]           [-]           [-]           [-]           [-]
 1.02500E+00   2.53976E+00   9.15318E-01   5.01306E-01   1.27320E+00
 1.07500E+00   2.53699E+00   9.16593E-01   5.01409E-01   1.27207E+00
 1.12500E+00   2.53364E+00   9.18122E-01   5.01563E-01   1.27078E+00
 1.17500E+00   2.52955E+00   9.19902E-01   5.01819E-01   1.26938E+00
 1.22500E+00   2.52469E+00   9.21919E-01   5.02208E-01   1.26792E+00
 1.27500E+00   2.51909E+00   9.24142E-01   5.02751E-01   1.26648E+00
 1.32500E+00   2.51283E+00   9.26526E-01   5.03459E-01   1.26511E+00
 1.37500E+00   2.50604E+00   9.29017E-01   5.04337E-01   1.26389E+00
 1.42500E+00   2.49887E+00   9.31556E-01   5.05380E-01   1.26288E+00
 1.47500E+00   2.49148E+00   9.34083E-01   5.06577E-01   1.26213E+00
 1.52500E+00   2.48405E+00   9.36543E-01   5.07910E-01   1.26167E+00
 1.57500E+00   2.47669E+00   9.38893E-01   5.09356E-01   1.26152E+00
 1.62500E+00   2.46952E+00   9.41104E-01   5.10892E-01   1.26166E+00
 1.67500E+00   2.46261E+00   9.43157E-01   5.12490E-01   1.26207E+00
 1.72500E+00   2.45600E+00   9.45046E-01   5.14128E-01   1.26270E+00
 1.77500E+00   2.44967E+00   9.46780E-01   5.15779E-01   1.26349E+00
 1.82500E+00   2.44360E+00   9.48379E-01   5.17425E-01   1.26438E+00
 1.87500E+00   2.43772E+00   9.49872E-01   5.19047E-01   1.26529E+00
 1.92500E+00   2.43192E+00   9.51298E-01   5.20630E-01   1.26613E+00
 1.97500E+00   2.42610E+00   9.52700E-01   5.22164E-01   1.26682E+00
 2.02500E+00   2.42013E+00   9.54127E-01   5.23643E-01   1.26729E+00
 2.07500E+00   2.41389E+00   9.55626E-01   5.25063E-01   1.26744E+00
 2.12500E+00   2.40722E+00   9.57244E-01   5.26425E-01   1.26722E+00
 2.17500E+00   2.40003E+00   9.59028E-01   5.27730E-01   1.26657E+00
 2.22500E+00   2.39218E+00   9.61016E-01   5.28984E-01   1.26543E+00
 2.27500E+00   2.38360E+00   9.63243E-01   5.30194E-01   1.26377E+00
 2.32500E+00   2.37420E+00   9.65732E-01   5.31366E-01   1.26157E+00
 2.37500E+00   2.36396E+00   9.68502E-01   5.32510E-01   1.25883E+00
 2.42500E+00   2.35284E+00   9.71558E-01   5.33632E-01   1.25555E+00
 2.47500E+00   2.34087E+00   9.74896E-01   5.34740E-01   1.25176E+00
 2.52500E+00   2.32811E+00   9.78502E-01   5.35841E-01   1.24750E+00
 2.57500E+00   2.31462E+00   9.82350E-01   5.36940E-01   1.24281E+00
 2.62500E+00   2.30053E+00   9.86405E-01   5.38038E-01   1.23777E+00
 2.67500E+00   2.28597E+00   9.90622E-01   5.39135E-01   1.23245E+00
 2.72500E+00   2.27110E+00   9.94950E-01   5.40231E-01   1.22692E+00
 2.77500E+00   2.25610E+00   9.99333E-01   5.41321E-01   1.22128E+00
 2.82500E+00   2.24115E+00   1.00371E+00   5.42399E-01   1.21560E+00
 2.87500E+00   2.22644E+00   1.00802E+00   5.43458E-01   1.20998E+00
 2.92500E+00   2.21214E+00   1.01221E+00   5.44490E-01   1.20449E+00
 2.97500E+00   2.19843E+00   1.01622E+00   5.45484E-01   1.19921E+00
 3.02500E+00   2.18544E+00   1.02001E+00   5.46433E-01   1.19420E+00
 3.07500E+00   2.17329E+00   1.02354E+00   5.47327E-01   1.18950E+00
 3.12500E+00   2.16206E+00   1.02679E+00   5.48159E-01   1.18515E+00
 3.17500E+00   2.15182E+00   1.02973E+00   5.48924E-01   1.18118E+00
 3.22500E+00   2.14258E+00   1.03237E+00   5.49618E-01   1.17760E+00
 3.27500E+00   2.13434E+00   1.03470E+00   5.50240E-01   1.17440E+00
 3.32500E+00   2.12707E+00   1.03674E+00   5.50790E-01   1.17157E+00
 3.37500E+00   2.12073E+00   1.03851E+00   5.51271E-01   1.16910E+00
 3.42500E+00   2.11526E+00   1.04002E+00   5.51686E-01   1.16696E+00
 3.47500E+00   2.11059E+00   1.04130E+00   5.52041E-01   1.16513E+00
 3.52500E+00   2.10663E+00   1.04237E+00   5.52342E-01   1.16358E+00
 3.57500E+00   2.10332E+00   1.04326E+00   5.52594E-01   1.16228E+00
 3.62500E+00   2.10057E+00   1.04400E+00   5.52803E-01   1.16120E+00
 3.67500E+00   2.09832E+00   1.04460E+00   5.52977E-01   1.16032E+00
 3.72500E+00   2.09649E+00   1.04509E+00   5.53120E-01   1.15961E+00
 3.77500E+00   2.09504E+00   1.04548E+00   5.53238E-01   1.15905E+00
 3.82500E+00   2.09389E+00   1.04580E+00   5.53335E-01   1.15863E+00
 3.87500E+00   2.09302E+00   1.04605E+00   5.53417E-01   1.15831E+00
 3.92500E+00   2.09237E+00   1.04626E+00   5.53486E-01   1.15810E+00
 3.97500E+00   2.09191E+00   1.04642E+00   5.53545E-01   1.15797E+00
 4.02500E+00   2.09162E+00   1.04655E+00   5.53598E-01   1.15792E+00
 4.07500E+00   2.09146E+00   1.04665E+00   5.53646E-01   1.15793E+00
 4.12500E+00   2.09142E+00   1.04673E+00   5.53690E-01   1.15800E+00
 4.17500E+00   2.09149E+00   1.04679E+00   5.53733E-01   1.15812E+00
 4.22500E+00   2.09164E+00   1.04685E+00   5.53775E-01   1.15830E+00
 4.27500E+00   2.09186E+00   1.04689E+00   5.53816E-01   1.15851E+00
 4.32500E+00   2.09215E+00   1.04693E+00   5.53859E-01   1.15876E+00
 4.37500E+00   2.09249E+00   1.04696E+00   5.53903E-01   1.15904E+00
 4.42500E+00   2.09288E+00   1.04699E+00   5.53947E-01   1.15935E+00
 4.47500E+00   2.09332E+00   1.04701E+00   5.53994E-01   1.15968E+00
 4.52500E+00   2.09378E+00   1.04704E+00   5.54042E-01   1.16004E+00
 4.57500E+00   2.09427E+00   1.04706E+00   5.54092E-01   1.16042E+00
 4.62500E+00   2.09479E+00   1.04708E+00   5.54144E-01   1.16081E+00
 4.67500E+00   2.09532E+00   1.04709E+00   5.54198E-01   1.16122E+00
 4.72500E+00   2.09586E+00   1.04711E+00   5.54253E-01   1.16164E+00
 4.77500E+00   2.09640E+00   1.04713E+00   5.54311E-01   1.16206E+00
 4.82500E+00   2.09694E+00   1.04714E+00   5.54370E-01   1.16248E+00
 4.87500E+00   2.09747E+00   1.04716E+00   5.54432E-01   1.16290E+00
 4.92500E+00   2.09799E+00   1.04717E+00   5.54494E-01   1.16332E+00
 4.97500E+00   2.09849E+00   1.04718E+00   5.54559E-01   1.16373E+00
 5.02500E+00   2.09896E+00   1.04719E+00   5.54624E-01   1.16414E+00
 5.07500E+00   2.09941E+00   1.04720E+00   5.54692E-01   1.16453E+00
 5.12500E+00   2.09982E+00   1.04721E+00   5.54761E-01   1.16490E+00
 5.17500E+00   2.10020E+00   1.04722E+00   5.54832E-01   1.16526E+00
 5.22500E+00   2.10054E+00   1.04723E+00   5.54904E-01   1.16560E+00
 5.27500E+00   2.10084E+00   1.04723E+00   5.54977E-01   1.16592E+00
 5.32500E+00   2.10109E+00   1.04724E+00   5.55052E-01   1.16621E+00
 5.37500E+00   2.10129E+00   1.04724E+00   5.55129E-01   1.16649E+00
 5.42500E+00   2.10145E+00   1.04725E+00   5.55206E-01   1.16674E+00
 5.47500E+00   2.10156E+00   1.04725E+00   5.55285E-01   1.16697E+00
 5.52500E+00   2.10163E+00   1.04725E+00   5.55366E-01   1.16717E+00
 5.57500E+00   2.10165E+00   1.04725E+00   5.55448E-01   1.16736E+00
 5.62500E+00   2.10164E+00   1.04724E+00   5.55531E-01   1.16752E+00
 5.67500E+00   2.10159E+00   1.04724E+00   5.55615E-01   1.16767E+00
 5.72500E+00   2.10150E+00   1.04724E+00   5.55700E-01   1.16780E+00
 5.77500E+00   2.10138E+00   1.04724E+00   5.55787E-01   1.16792E+00
 5.82500E+00   2.10125E+00   1.04724E+00   5.55875E-01   1.16803E+00
 5.87500E+00   2.10109E+00   1.04723E+00   5.55965E-01   1.16813E+00
 5.92500E+00   2.10091E+00   1.04723E+00   5.56055E-01   1.16822E+00
 5.97500E+00   2.10073E+00   1.04723E+00   5.56148E-01   1.16832E+00
 6.02500E+00   2.10054E+00   1.04723E+00   5.56241E-01   1.16841E+00
 6.07500E+00   2.10035E+00   1.04723E+00   5.56336E-01   1.16850E+00
 6.12500E+00   2.10017E+00   1.04723E+00   5.56432E-01   1.16860E+00
 6.17500E+00   2.10000E+00   1.04723E+00   5.56529E-01   1.16871E+00
 6.22500E+00   2.09984E+00   1.04723E+00   5.56627E-01   1.16883E+00
 6.27500E+00   2.09969E+00   1.04724E+00   5.56726E-01   1.16895E+00
 6.32500E+00   2.09956E+00   1.04725E+00   5.56826E-01   1.16909E+00
 6.37500E+00   2.09944E+00   1.04727E+00   5.56927E-01   1.16923E+00
 6.42500E+00   2.09934E+00   1.04729E+00   5.57028E-01   1.16939E+00
 6.47500E+00   2.09925E+00   1.04732E+00   5.57129E-01   1.16955E+00
 6.52500E+00   2.09917E+00   1.04735E+00   5.57231E-01   1.16972E+00
 6.57500E+00   2.09910E+00   1.04740E+00   5.57334E-01   1.16990E+00
 6.62500E+00   2.09904E+00   1.04746E+00   5.57438E-01   1.17009E+00
 6.67500E+00   2.09900E+00   1.04752E+00   5.57544E-01   1.17029E+00
 6.72500E+00   2.09898E+00   1.04759E+00   5.57651E-01   1.17050E+00
 6.77500E+00   2.09897E+00   1.04767E+00   5.57759E-01   1.17072E+00
 6.82500E+00   2.09898E+00   1.04776E+00   5.57868E-01   1.17096E+00
 6.87500E+00   2.09901E+00   1.04785E+00   5.57978E-01   1.17120E+00
 6.92500E+00   2.09907E+00   1.04796E+00   5.58090E-01   1.17147E+00
 6.97500E+00   2.09913E+00   1.04806E+00   5.58203E-01   1.17174E+00
 7.02500E+00   2.09922E+00   1.04818E+00   5.58318E-01   1.17203E+00
 7.07500E+00   2.09931E+00   1.04830E+00   5.58435E-01   1.17233E+00
 7.12500E+00   2.09943E+00   1.04842E+00   5.58553E-01   1.17264E+00
 7.17500E+00   2.09955E+00   1.04855E+00   5.58673E-01   1.17296E+00
 7.22500E+00   2.09969E+00   1.04868E+00   5.58794E-01   1.17329E+00
 7.27500E+00   2.09983E+00   1.04882E+00   5.58918E-01   1.17364E+00
 7.32500E+00   2.09999E+00   1.04896E+00   5.59044E-01   1.17398E+00
 7.37500E+00   2.10014E+00   1.04910E+00   5.59172E-01   1.17434E+00
 7.42500E+00   2.10030E+00   1.04925E+00   5.59303E-01   1.17470E+00
 7.47500E+00   2.10046E+00   1.04940E+00   5.59436E-01   1.17507E+00
 7.52500E+00   2.10061E+00   1.04955E+00   5.59572E-01   1.17544E+00
 7.57500E+00   2.10076E+00   1.04970E+00   5.59711E-01   1.17582E+00
 7.62500E+00   2.10091E+00   1.04986E+00   5.59853E-01   1.17620E+00
 7.67500E+00   2.10105E+00   1.05002E+00   5.59998E-01   1.17658E+00
 7.72500E+00   2.10118E+00   1.05018E+00   5.60146E-01   1.17697E+00
 7.77500E+00   2.10130E+00   1.05035E+00   5.60298E-01   1.17735E+00
 7.82500E+00   2.10141E+00   1.05051E+00   5.60453E-01   1.17774E+00
 7.87500E+00   2.10151E+00   1.05068E+00   5.60613E-01   1.17813E+00
 7.92500E+00   2.10160E+00   1.05085E+00   5.60776E-01   1.17853E+00
 7.97500E+00   2.10167E+00   1.05102E+00   5.60944E-01   1.17892E+00
 8.02500E+00   2.10174E+00   1.05120E+00   5.61115E-01   1.17932E+00
 8.07500E+00   2.10179E+00   1.05137E+00   5.61291E-01   1.17972E+00
 8.12500E+00   2.10184E+00   1.05155E+00   5.61472E-01   1.18012E+00
 8.17500E+00   2.10187E+00   1.05173E+00   5.61657E-01   1.18053E+00
 8.22500E+00   2.10189E+00   1.05191E+00   5.61847E-01   1.18094E+00
 8.27500E+00   2.10191E+00   1.05209E+00   5.62041E-01   1.18136E+00
 8.32500E+00   2.10192E+00   1.05228E+00   5.62241E-01   1.18179E+00
 8.37500E+00   2.10193E+00   1.05247E+00   5.62445E-01   1.18222E+00
 8.42500E+00   2.10193E+00   1.05266E+00   5.62655E-01   1.18266E+00
 8.47500E+00   2.10193E+00   1.05285E+00   5.62869E-01   1.18311E+00
 8.52500E+00   2.10193E+00   1.05305E+00   5.63089E-01   1.18358E+00
