      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   3.65312E+15   9.97611E+06   2.31934E-01   3.54283E-05   1.32484E-08
 1.07500E+00   5.22167E+15   1.45443E+07   3.97650E-01   6.14198E-05   1.41287E-08
 1.12500E+00   6.74394E+15   1.71527E+07   6.37804E-01   9.98215E-05   1.52536E-08
 1.17500E+00   8.36625E+15   2.53842E+07   9.85003E-01   1.55115E-04   1.64428E-08
 1.22500E+00   1.02461E+16   3.72192E+07   1.47741E+00   2.32962E-04   1.75999E-08
 1.27500E+00   1.25529E+16   5.32366E+07   2.16273E+00   3.40354E-04   1.86637E-08
 1.32500E+00   1.54641E+16   7.49240E+07   3.10017E+00   4.85728E-04   1.96016E-08
 1.37500E+00   1.91594E+16   1.04349E+08   4.36175E+00   6.79020E-04   2.04065E-08
 1.42500E+00   2.38134E+16   1.44123E+08   6.03294E+00   9.31628E-04   2.10899E-08
 1.47500E+00   2.95918E+16   1.97418E+08   8.21273E+00   1.25624E-03   2.16722E-08
 1.52500E+00   3.66498E+16   2.67999E+08   1.10126E+01   1.66654E-03   2.21743E-08
 1.57500E+00   4.51328E+16   3.60241E+08   1.45546E+01   2.17666E-03   2.26135E-08
 1.62500E+00   5.51768E+16   4.79131E+08   1.89675E+01   2.80054E-03   2.30019E-08
 1.67500E+00   6.69068E+16   6.30220E+08   2.43824E+01   3.55100E-03   2.33468E-08
 1.72500E+00   8.04344E+16   8.19520E+08   3.09254E+01   4.43868E-03   2.36522E-08
 1.77500E+00   9.58533E+16   1.05333E+09   3.87105E+01   5.47094E-03   2.39196E-08
 1.82500E+00   1.13235E+17   1.33799E+09   4.78296E+01   6.65058E-03   2.41487E-08
 1.87500E+00   1.32627E+17   1.67956E+09   5.83433E+01   7.97484E-03   2.43387E-08
 1.92500E+00   1.54046E+17   2.08351E+09   7.02723E+01   9.43461E-03   2.44883E-08
 1.97500E+00   1.77478E+17   2.55435E+09   8.35888E+01   1.10140E-02   2.45962E-08
 2.02500E+00   2.02875E+17   3.09531E+09   9.82126E+01   1.26905E-02   2.46615E-08
 2.07500E+00   2.30150E+17   3.70803E+09   1.14009E+02   1.44361E-02   2.46839E-08
 2.12500E+00   2.59182E+17   4.39236E+09   1.30793E+02   1.62182E-02   2.46642E-08
 2.17500E+00   2.89810E+17   5.14621E+09   1.48335E+02   1.80023E-02   2.46041E-08
 2.22500E+00   3.21832E+17   5.96552E+09   1.66376E+02   1.97539E-02   2.45062E-08
 2.27500E+00   3.55013E+17   6.84441E+09   1.84639E+02   2.14407E-02   2.43744E-08
 2.32500E+00   3.89079E+17   7.77550E+09   2.02846E+02   2.30349E-02   2.42132E-08
 2.37500E+00   4.23725E+17   8.75013E+09   2.20729E+02   2.45145E-02   2.40278E-08
 2.42500E+00   4.58617E+17   9.75839E+09   2.38046E+02   2.58641E-02   2.38241E-08
 2.47500E+00   4.93398E+17   1.07887E+10   2.54589E+02   2.70746E-02   2.36078E-08
 2.52500E+00   5.27696E+17   1.18273E+10   2.70184E+02   2.81433E-02   2.33847E-08
 2.57500E+00   5.61126E+17   1.28582E+10   2.84699E+02   2.90725E-02   2.31602E-08
 2.62500E+00   5.93304E+17   1.38652E+10   2.98036E+02   2.98684E-02   2.29393E-08
 2.67500E+00   6.23851E+17   1.48345E+10   3.10134E+02   3.05399E-02   2.27264E-08
 2.72500E+00   6.52402E+17   1.57580E+10   3.20958E+02   3.10975E-02   2.25253E-08
 2.77500E+00   6.78615E+17   1.66334E+10   3.30494E+02   3.15524E-02   2.23394E-08
 2.82500E+00   7.02176E+17   1.74588E+10   3.38743E+02   3.19155E-02   2.21711E-08
 2.87500E+00   7.22807E+17   1.82235E+10   3.45713E+02   3.21974E-02   2.20226E-08
 2.92500E+00   7.40273E+17   1.89007E+10   3.51419E+02   3.24075E-02   2.18954E-08
 2.97500E+00   7.54384E+17   1.94495E+10   3.55884E+02   3.25542E-02   2.17908E-08
 3.02500E+00   7.64999E+17   1.98261E+10   3.59134E+02   3.26447E-02   2.17096E-08
 3.07500E+00   7.72030E+17   2.00035E+10   3.61207E+02   3.26851E-02   2.16524E-08
 3.12500E+00   7.75440E+17   2.00254E+10   3.62143E+02   3.26804E-02   2.16196E-08
 3.17500E+00   7.75243E+17   2.00388E+10   3.61986E+02   3.26347E-02   2.16114E-08
 3.22500E+00   7.71505E+17   2.00360E+10   3.60774E+02   3.25512E-02   2.16277E-08
 3.27500E+00   7.64339E+17   1.98720E+10   3.58541E+02   3.24325E-02   2.16687E-08
 3.32500E+00   7.53902E+17   1.95568E+10   3.55324E+02   3.22805E-02   2.17342E-08
 3.37500E+00   7.40389E+17   1.91239E+10   3.51168E+02   3.20969E-02   2.18241E-08
 3.42500E+00   7.24031E+17   1.85955E+10   3.46116E+02   3.18830E-02   2.19383E-08
 3.47500E+00   7.05085E+17   1.79849E+10   3.40216E+02   3.16399E-02   2.20766E-08
 3.52500E+00   6.83834E+17   1.73027E+10   3.33519E+02   3.13687E-02   2.22391E-08
 3.57500E+00   6.60577E+17   1.65595E+10   3.26082E+02   3.10705E-02   2.24256E-08
 3.62500E+00   6.35623E+17   1.57666E+10   3.17963E+02   3.07467E-02   2.26361E-08
 3.67500E+00   6.09288E+17   1.49352E+10   3.09227E+02   3.03989E-02   2.28707E-08
 3.72500E+00   5.81887E+17   1.40763E+10   2.99941E+02   3.00290E-02   2.31296E-08
 3.77500E+00   5.53730E+17   1.32001E+10   2.90180E+02   2.96393E-02   2.34131E-08
 3.82500E+00   5.25119E+17   1.23162E+10   2.80023E+02   2.92327E-02   2.37213E-08
 3.87500E+00   4.96341E+17   1.14333E+10   2.69554E+02   2.88128E-02   2.40549E-08
 3.92500E+00   4.67671E+17   1.05593E+10   2.58862E+02   2.83834E-02   2.44142E-08
 3.97500E+00   4.39359E+17   9.70204E+09   2.48040E+02   2.79491E-02   2.48000E-08
 4.02500E+00   4.11639E+17   8.86859E+09   2.37185E+02   2.75153E-02   2.52128E-08
 4.07500E+00   3.84721E+17   8.06571E+09   2.26399E+02   2.70877E-02   2.56533E-08
 4.12500E+00   3.58792E+17   7.29963E+09   2.15783E+02   2.66724E-02   2.61221E-08
 4.17500E+00   3.34018E+17   6.57602E+09   2.05441E+02   2.62761E-02   2.66194E-08
 4.22500E+00   3.10539E+17   5.89982E+09   1.95475E+02   2.59054E-02   2.71452E-08
 4.27500E+00   2.88477E+17   5.27524E+09   1.85984E+02   2.55672E-02   2.76987E-08
 4.32500E+00   2.67928E+17   4.70565E+09   1.77062E+02   2.52681E-02   2.82783E-08
 4.37500E+00   2.48975E+17   4.19350E+09   1.68798E+02   2.50141E-02   2.88810E-08
 4.42500E+00   2.31676E+17   3.74027E+09   1.61269E+02   2.48108E-02   2.95022E-08
 4.47500E+00   2.16077E+17   3.34653E+09   1.54545E+02   2.46628E-02   3.01356E-08
 4.52500E+00   2.02209E+17   3.01203E+09   1.48681E+02   2.45735E-02   3.07721E-08
 4.57500E+00   1.90088E+17   2.73586E+09   1.43721E+02   2.45451E-02   3.14006E-08
 4.62500E+00   1.79721E+17   2.51671E+09   1.39694E+02   2.45786E-02   3.20077E-08
 4.67500E+00   1.71103E+17   2.35291E+09   1.36615E+02   2.46732E-02   3.25780E-08
 4.72500E+00   1.64223E+17   2.24254E+09   1.34484E+02   2.48269E-02   3.30951E-08
 4.77500E+00   1.59062E+17   2.18165E+09   1.33291E+02   2.50362E-02   3.35431E-08
 4.82500E+00   1.55593E+17   2.17022E+09   1.33009E+02   2.52964E-02   3.39071E-08
 4.87500E+00   1.53788E+17   2.16936E+09   1.33603E+02   2.56017E-02   3.41757E-08
 4.92500E+00   1.53611E+17   2.16850E+09   1.35033E+02   2.59454E-02   3.43411E-08
 4.97500E+00   1.55024E+17   2.20687E+09   1.37250E+02   2.63203E-02   3.44006E-08
 5.02500E+00   1.57985E+17   2.32276E+09   1.40200E+02   2.67189E-02   3.43560E-08
 5.07500E+00   1.62450E+17   2.48522E+09   1.43825E+02   2.71336E-02   3.42135E-08
 5.12500E+00   1.68370E+17   2.67734E+09   1.48059E+02   2.75571E-02   3.39827E-08
 5.17500E+00   1.75693E+17   2.88952E+09   1.52840E+02   2.79826E-02   3.36754E-08
 5.22500E+00   1.84364E+17   3.11849E+09   1.58105E+02   2.84041E-02   3.33045E-08
 5.27500E+00   1.94325E+17   3.36474E+09   1.63794E+02   2.88164E-02   3.28830E-08
 5.32500E+00   2.05514E+17   3.63009E+09   1.69850E+02   2.92154E-02   3.24234E-08
 5.37500E+00   2.17863E+17   3.91648E+09   1.76222E+02   2.95981E-02   3.19371E-08
 5.42500E+00   2.31301E+17   4.22594E+09   1.82861E+02   2.99628E-02   3.14343E-08
 5.47500E+00   2.45752E+17   4.56116E+09   1.89723E+02   3.03089E-02   3.09238E-08
 5.52500E+00   2.61136E+17   4.92585E+09   1.96770E+02   3.06370E-02   3.04132E-08
 5.57500E+00   2.77366E+17   5.32466E+09   2.03969E+02   3.09487E-02   2.99087E-08
 5.62500E+00   2.94351E+17   5.76236E+09   2.11291E+02   3.12467E-02   2.94158E-08
 5.67500E+00   3.11994E+17   6.24251E+09   2.18702E+02   3.15319E-02   2.89381E-08
 5.72500E+00   3.30193E+17   6.76761E+09   2.26148E+02   3.18010E-02   2.84769E-08
 5.77500E+00   3.48840E+17   7.34046E+09   2.33580E+02   3.20512E-02   2.80333E-08
 5.82500E+00   3.67823E+17   7.96374E+09   2.40950E+02   3.22808E-02   2.76081E-08
 5.87500E+00   3.87026E+17   8.63918E+09   2.48212E+02   3.24887E-02   2.72019E-08
 5.92500E+00   4.06328E+17   9.36696E+09   2.55326E+02   3.26743E-02   2.68150E-08
 5.97500E+00   4.25605E+17   1.01456E+10   2.62250E+02   3.28373E-02   2.64478E-08
 6.02500E+00   4.44731E+17   1.09719E+10   2.68946E+02   3.29779E-02   2.61002E-08
 6.07500E+00   4.63580E+17   1.18417E+10   2.75378E+02   3.30963E-02   2.57723E-08
 6.12500E+00   4.82025E+17   1.27496E+10   2.81511E+02   3.31930E-02   2.54640E-08
 6.17500E+00   4.99938E+17   1.36896E+10   2.87312E+02   3.32685E-02   2.51753E-08
 6.22500E+00   5.17195E+17   1.46537E+10   2.92750E+02   3.33234E-02   2.49058E-08
 6.27500E+00   5.33676E+17   1.56322E+10   2.97797E+02   3.33585E-02   2.46553E-08
 6.32500E+00   5.49265E+17   1.66112E+10   3.02427E+02   3.33744E-02   2.44237E-08
 6.37500E+00   5.63850E+17   1.75730E+10   3.06615E+02   3.33718E-02   2.42107E-08
 6.42500E+00   5.77330E+17   1.84953E+10   3.10341E+02   3.33514E-02   2.40159E-08
 6.47500E+00   5.89608E+17   1.93522E+10   3.13586E+02   3.33141E-02   2.38391E-08
 6.52500E+00   6.00600E+17   2.01166E+10   3.16335E+02   3.32605E-02   2.36800E-08
 6.57500E+00   6.10231E+17   2.07628E+10   3.18576E+02   3.31913E-02   2.35385E-08
 6.62500E+00   6.18437E+17   2.12706E+10   3.20299E+02   3.31073E-02   2.34141E-08
 6.67500E+00   6.25167E+17   2.16291E+10   3.21499E+02   3.30092E-02   2.33067E-08
 6.72500E+00   6.30383E+17   2.18407E+10   3.22175E+02   3.28979E-02   2.32161E-08
 6.77500E+00   6.34060E+17   2.19107E+10   3.22326E+02   3.27740E-02   2.31420E-08
 6.82500E+00   6.36185E+17   2.19194E+10   3.21959E+02   3.26385E-02   2.30843E-08
 6.87500E+00   6.36762E+17   2.19286E+10   3.21082E+02   3.24923E-02   2.30428E-08
 6.92500E+00   6.35806E+17   2.18803E+10   3.19708E+02   3.23362E-02   2.30174E-08
 6.97500E+00   6.33346E+17   2.15796E+10   3.17851E+02   3.21712E-02   2.30079E-08
 7.02500E+00   6.29424E+17   2.10875E+10   3.15532E+02   3.19984E-02   2.30142E-08
 7.07500E+00   6.24096E+17   2.04597E+10   3.12773E+02   3.18188E-02   2.30363E-08
 7.12500E+00   6.17427E+17   1.97302E+10   3.09599E+02   3.16336E-02   2.30740E-08
 7.17500E+00   6.09495E+17   1.89225E+10   3.06040E+02   3.14440E-02   2.31273E-08
 7.22500E+00   6.00388E+17   1.80543E+10   3.02126E+02   3.12512E-02   2.31960E-08
 7.27500E+00   5.90202E+17   1.71392E+10   2.97891E+02   3.10565E-02   2.32801E-08
 7.32500E+00   5.79040E+17   1.61889E+10   2.93372E+02   3.08612E-02   2.33796E-08
 7.37500E+00   5.67014E+17   1.52140E+10   2.88607E+02   3.06666E-02   2.34941E-08
 7.42500E+00   5.54238E+17   1.42250E+10   2.83635E+02   3.04742E-02   2.36236E-08
 7.47500E+00   5.40834E+17   1.32320E+10   2.78496E+02   3.02853E-02   2.37679E-08
 7.52500E+00   5.26923E+17   1.22450E+10   2.73234E+02   3.01013E-02   2.39266E-08
 7.57500E+00   5.12630E+17   1.12736E+10   2.67890E+02   2.99235E-02   2.40993E-08
 7.62500E+00   4.98080E+17   1.03268E+10   2.62506E+02   2.97533E-02   2.42855E-08
 7.67500E+00   4.83395E+17   9.41279E+09   2.57125E+02   2.95919E-02   2.44845E-08
 7.72500E+00   4.68697E+17   8.53870E+09   2.51789E+02   2.94406E-02   2.46956E-08
 7.77500E+00   4.54106E+17   7.71088E+09   2.46538E+02   2.93005E-02   2.49177E-08
 7.82500E+00   4.39735E+17   6.93467E+09   2.41413E+02   2.91727E-02   2.51495E-08
 7.87500E+00   4.25695E+17   6.21452E+09   2.36451E+02   2.90581E-02   2.53897E-08
 7.92500E+00   4.12088E+17   5.55401E+09   2.31689E+02   2.89577E-02   2.56365E-08
 7.97500E+00   3.99014E+17   4.95592E+09   2.27161E+02   2.88720E-02   2.58880E-08
 8.02500E+00   3.86564E+17   4.42229E+09   2.22897E+02   2.88018E-02   2.61417E-08
 8.07500E+00   3.74819E+17   3.95445E+09   2.18928E+02   2.87475E-02   2.63954E-08
 8.12500E+00   3.63857E+17   3.55307E+09   2.15279E+02   2.87094E-02   2.66460E-08
 8.17500E+00   3.53744E+17   3.21807E+09   2.11974E+02   2.86876E-02   2.68908E-08
 8.22500E+00   3.44540E+17   2.94849E+09   2.09031E+02   2.86822E-02   2.71264E-08
 8.27500E+00   3.36296E+17   2.74232E+09   2.06468E+02   2.86931E-02   2.73498E-08
 8.32500E+00   3.29053E+17   2.59624E+09   2.04298E+02   2.87199E-02   2.75575E-08
 8.37500E+00   3.22847E+17   2.50586E+09   2.02529E+02   2.87623E-02   2.77466E-08
 8.42500E+00   3.17701E+17   2.46504E+09   2.01170E+02   2.88196E-02   2.79142E-08
 8.47500E+00   3.13634E+17   2.46340E+09   2.00223E+02   2.88912E-02   2.80575E-08
 8.52500E+00   3.10654E+17   2.46428E+09   1.99686E+02   2.89763E-02   2.81745E-08
 8.57500E+00   3.08762E+17   2.46511E+09   1.99557E+02   2.90738E-02   2.82636E-08
 8.62500E+00   3.07951E+17   2.52388E+09   1.99829E+02   2.91829E-02   2.83237E-08
 8.67500E+00   3.08209E+17   2.64942E+09   2.00492E+02   2.93023E-02   2.83544E-08
 8.72500E+00   3.09513E+17   2.82482E+09   2.01534E+02   2.94308E-02   2.83559E-08
 8.77500E+00   3.11838E+17   3.03563E+09   2.02939E+02   2.95674E-02   2.83289E-08
 8.82500E+00   3.15148E+17   3.27230E+09   2.04690E+02   2.97105E-02   2.82748E-08
 8.87500E+00   3.19406E+17   3.52946E+09   2.06767E+02   2.98590E-02   2.81955E-08
 8.92500E+00   3.24565E+17   3.80498E+09   2.09148E+02   3.00115E-02   2.80929E-08
 8.97500E+00   3.30577E+17   4.09934E+09   2.11811E+02   3.01667E-02   2.79696E-08
 9.02500E+00   3.37386E+17   4.41490E+09   2.14730E+02   3.03233E-02   2.78282E-08
 9.07500E+00   3.44935E+17   4.75531E+09   2.17878E+02   3.04800E-02   2.76712E-08
 9.12500E+00   3.53160E+17   5.12497E+09   2.21229E+02   3.06356E-02   2.75013E-08
 9.17500E+00   3.61997E+17   5.52862E+09   2.24754E+02   3.07888E-02   2.73210E-08
 9.22500E+00   3.71378E+17   5.97093E+09   2.28425E+02   3.09386E-02   2.71329E-08
 9.27500E+00   3.81231E+17   6.45629E+09   2.32213E+02   3.10839E-02   2.69392E-08
 9.32500E+00   3.91484E+17   6.98859E+09   2.36089E+02   3.12238E-02   2.67419E-08
 9.37500E+00   4.02064E+17   7.57108E+09   2.40024E+02   3.13572E-02   2.65429E-08
 9.42500E+00   4.12896E+17   8.20630E+09   2.43990E+02   3.14835E-02   2.63441E-08
 9.47500E+00   4.23903E+17   8.89609E+09   2.47957E+02   3.16019E-02   2.61467E-08
 9.52500E+00   4.35012E+17   9.64156E+09   2.51900E+02   3.17118E-02   2.59522E-08
 9.57500E+00   4.46148E+17   1.04430E+10   2.55790E+02   3.18126E-02   2.57617E-08
 9.62500E+00   4.57235E+17   1.12995E+10   2.59604E+02   3.19040E-02   2.55762E-08
 9.67500E+00   4.68202E+17   1.22090E+10   2.63316E+02   3.19855E-02   2.53966E-08
 9.72500E+00   4.78977E+17   1.31671E+10   2.66903E+02   3.20569E-02   2.52234E-08
 9.77500E+00   4.89493E+17   1.41668E+10   2.70345E+02   3.21182E-02   2.50574E-08
 9.82500E+00   4.99683E+17   1.51978E+10   2.73620E+02   3.21691E-02   2.48991E-08
 9.87500E+00   5.09484E+17   1.62459E+10   2.76711E+02   3.22097E-02   2.47488E-08
 9.92500E+00   5.18837E+17   1.72929E+10   2.79602E+02   3.22401E-02   2.46069E-08
 9.97500E+00   5.27686E+17   1.83171E+10   2.82275E+02   3.22603E-02   2.44737E-08
 1.00250E+01   5.35979E+17   1.92944E+10   2.84719E+02   3.22705E-02   2.43494E-08
 1.00750E+01   5.43670E+17   2.02000E+10   2.86922E+02   3.22709E-02   2.42341E-08
 1.01250E+01   5.50715E+17   2.10101E+10   2.88871E+02   3.22618E-02   2.41280E-08
 1.01750E+01   5.57078E+17   2.17048E+10   2.90561E+02   3.22433E-02   2.40312E-08
 1.02250E+01   5.62727E+17   2.22690E+10   2.91983E+02   3.22158E-02   2.39437E-08
 1.02750E+01   5.67634E+17   2.26950E+10   2.93133E+02   3.21795E-02   2.38656E-08
 1.03250E+01   5.71779E+17   2.29816E+10   2.94008E+02   3.21350E-02   2.37968E-08
 1.03750E+01   5.75146E+17   2.31381E+10   2.94606E+02   3.20827E-02   2.37374E-08
 1.04250E+01   5.77725E+17   2.31671E+10   2.94929E+02   3.20229E-02   2.36872E-08
 1.04750E+01   5.79513E+17   2.31669E+10   2.94979E+02   3.19562E-02   2.36464E-08
 1.05250E+01   5.80510E+17   2.31666E+10   2.94761E+02   3.18831E-02   2.36149E-08
 1.05750E+01   5.80725E+17   2.30695E+10   2.94281E+02   3.18043E-02   2.35925E-08
 1.06250E+01   5.80171E+17   2.26924E+10   2.93548E+02   3.17205E-02   2.35792E-08
 1.06750E+01   5.78866E+17   2.21120E+10   2.92571E+02   3.16321E-02   2.35750E-08
 1.07250E+01   5.76833E+17   2.13816E+10   2.91361E+02   3.15400E-02   2.35797E-08
 1.07750E+01   5.74103E+17   2.05413E+10   2.89932E+02   3.14448E-02   2.35933E-08
 1.08250E+01   5.70707E+17   1.96224E+10   2.88299E+02   3.13472E-02   2.36155E-08
 1.08750E+01   5.66686E+17   1.86474E+10   2.86476E+02   3.12480E-02   2.36462E-08
 1.09250E+01   5.62078E+17   1.76333E+10   2.84480E+02   3.11480E-02   2.36853E-08
 1.09750E+01   5.56932E+17   1.65933E+10   2.82329E+02   3.10477E-02   2.37325E-08
 1.10250E+01   5.51296E+17   1.55383E+10   2.80042E+02   3.09480E-02   2.37876E-08
 1.10750E+01   5.45222E+17   1.44785E+10   2.77638E+02   3.08496E-02   2.38503E-08
 1.11250E+01   5.38764E+17   1.34233E+10   2.75137E+02   3.07531E-02   2.39202E-08
 1.11750E+01   5.31979E+17   1.23819E+10   2.72559E+02   3.06592E-02   2.39970E-08
 1.12250E+01   5.24925E+17   1.13633E+10   2.69924E+02   3.05686E-02   2.40803E-08
 1.12750E+01   5.17661E+17   1.03760E+10   2.67254E+02   3.04819E-02   2.41695E-08
 1.13250E+01   5.10247E+17   9.42786E+09   2.64569E+02   3.03996E-02   2.42641E-08
 1.13750E+01   5.02744E+17   8.52599E+09   2.61889E+02   3.03224E-02   2.43635E-08
