      xx/10.      ss_ratio
         [-]           [-]
 1.02500E+00   7.73580E+00
 1.07500E+00   7.66669E+00
 1.12500E+00   7.57483E+00
 1.17500E+00   7.45713E+00
 1.22500E+00   7.31043E+00
 1.27500E+00   7.13174E+00
 1.32500E+00   6.91880E+00
 1.37500E+00   6.67060E+00
 1.42500E+00   6.38765E+00
 1.47500E+00   6.07233E+00
 1.52500E+00   5.72892E+00
 1.57500E+00   5.36356E+00
 1.62500E+00   4.98389E+00
 1.67500E+00   4.59846E+00
 1.72500E+00   4.21608E+00
 1.77500E+00   3.84506E+00
 1.82500E+00   3.49264E+00
 1.87500E+00   3.16452E+00
 1.92500E+00   2.86458E+00
 1.97500E+00   2.59497E+00
 2.02500E+00   2.35621E+00
 2.07500E+00   2.14753E+00
 2.12500E+00   1.96718E+00
 2.17500E+00   1.81282E+00
 2.22500E+00   1.68173E+00
 2.27500E+00   1.57116E+00
 2.32500E+00   1.47839E+00
 2.37500E+00   1.40090E+00
 2.42500E+00   1.33642E+00
 2.47500E+00   1.28291E+00
 2.52500E+00   1.23862E+00
 2.57500E+00   1.20203E+00
 2.62500E+00   1.17187E+00
 2.67500E+00   1.14705E+00
 2.72500E+00   1.12666E+00
 2.77500E+00   1.10996E+00
 2.82500E+00   1.09632E+00
 2.87500E+00   1.08522E+00
 2.92500E+00   1.07624E+00
 2.97500E+00   1.06904E+00
 3.02500E+00   1.06335E+00
 3.07500E+00   1.05893E+00
 3.12500E+00   1.05560E+00
 3.17500E+00   1.05324E+00
 3.22500E+00   1.05172E+00
 3.27500E+00   1.05096E+00
 3.32500E+00   1.05089E+00
 3.37500E+00   1.05148E+00
 3.42500E+00   1.05269E+00
 3.47500E+00   1.05448E+00
 3.52500E+00   1.05684E+00
 3.57500E+00   1.05976E+00
 3.62500E+00   1.06321E+00
 3.67500E+00   1.06717E+00
 3.72500E+00   1.07161E+00
 3.77500E+00   1.07649E+00
 3.82500E+00   1.08175E+00
 3.87500E+00   1.08733E+00
 3.92500E+00   1.09313E+00
 3.97500E+00   1.09904E+00
 4.02500E+00   1.10493E+00
 4.07500E+00   1.11065E+00
 4.12500E+00   1.11606E+00
 4.17500E+00   1.12098E+00
 4.22500E+00   1.12525E+00
 4.27500E+00   1.12872E+00
 4.32500E+00   1.13123E+00
 4.37500E+00   1.13268E+00
 4.42500E+00   1.13296E+00
 4.47500E+00   1.13204E+00
 4.52500E+00   1.12991E+00
 4.57500E+00   1.12659E+00
 4.62500E+00   1.12215E+00
 4.67500E+00   1.11671E+00
 4.72500E+00   1.11039E+00
 4.77500E+00   1.10335E+00
 4.82500E+00   1.09576E+00
 4.87500E+00   1.08778E+00
 4.92500E+00   1.07958E+00
 4.97500E+00   1.07132E+00
 5.02500E+00   1.06313E+00
 5.07500E+00   1.05512E+00
 5.12500E+00   1.04740E+00
 5.17500E+00   1.04003E+00
 5.22500E+00   1.03306E+00
 5.27500E+00   1.02651E+00
 5.32500E+00   1.02039E+00
 5.37500E+00   1.01465E+00
 5.42500E+00   1.00926E+00
 5.47500E+00   1.00416E+00
 5.52500E+00   9.99223E-01
 5.57500E+00   9.94339E-01
 5.62500E+00   9.89620E-01
 5.67500E+00   9.85120E-01
 5.72500E+00   9.80875E-01
 5.77500E+00   9.76915E-01
 5.82500E+00   9.73267E-01
 5.87500E+00   9.69943E-01
 5.92500E+00   9.66955E-01
 5.97500E+00   9.64304E-01
 6.02500E+00   9.61985E-01
 6.07500E+00   9.59993E-01
 6.12500E+00   9.58318E-01
 6.17500E+00   9.56946E-01
 6.22500E+00   9.55869E-01
 6.27500E+00   9.55067E-01
 6.32500E+00   9.54519E-01
 6.37500E+00   9.54214E-01
 6.42500E+00   9.54134E-01
 6.47500E+00   9.54261E-01
 6.52500E+00   9.54580E-01
 6.57500E+00   9.55067E-01
 6.62500E+00   9.55707E-01
 6.67500E+00   9.56488E-01
 6.72500E+00   9.57390E-01
 6.77500E+00   9.58400E-01
