
   time: 4443.413 dt:   0.08889 mass:   2.578
      X         N         T         U         P        Q         JM
   0.0250   2.86616   0.95423   0.41972   2.73499   0.05494   1.20299
   0.0750   2.70882   0.93635   0.45675   2.53640   0.03013   1.23726
   0.1250   2.63237   0.92793   0.47543   2.44265   0.01552   1.25152
   0.1750   2.59265   0.92352   0.48524   2.39436   0.00789   1.25805
   0.2250   2.57112   0.92108   0.49056   2.36821   0.00398   1.26128
   0.2750   2.55912   0.91970   0.49351   2.35362   0.00193   1.26296
   0.3250   2.55229   0.91890   0.49520   2.34531   0.00081   1.26389
   0.3750   2.54835   0.91845   0.49617   2.34052   0.00019   1.26441
   0.4250   2.54605   0.91818   0.49674   2.33773   0.00018   1.26471
   0.4750   2.54468   0.91803   0.49707   2.33610   0.00041   1.26489
   0.5250   2.54387   0.91794   0.49727   2.33513   0.00055   1.26500
   0.5750   2.54339   0.91789   0.49740   2.33456   0.00065   1.26507
   0.6250   2.54310   0.91786   0.49747   2.33422   0.00071   1.26511
   0.6750   2.54292   0.91785   0.49751   2.33402   0.00075   1.26513
   0.7250   2.54281   0.91784   0.49754   2.33390   0.00078   1.26515
   0.7750   2.54275   0.91784   0.49755   2.33383   0.00080   1.26515
   0.8250   2.54271   0.91783   0.49756   2.33378   0.00080   1.26516
   0.8750   2.54270   0.91783   0.49757   2.33376   0.00081   1.26516
   0.9250   2.54270   0.91782   0.49757   2.33374   0.00080   1.26516
   0.9750   2.54272   0.91781   0.49756   2.33373   0.00077   1.26516
