
   time: 4443.413 dt:   0.08889 mass:   2.504
      X         N         T         U         P        Q         JM
  49.0250   2.54553   0.91708   0.49693   2.33446   0.00110   1.26496
  49.0750   2.54542   0.91712   0.49696   2.33446   0.00120   1.26496
  49.1250   2.54525   0.91717   0.49699   2.33444   0.00135   1.26496
  49.1750   2.54501   0.91724   0.49704   2.33440   0.00155   1.26497
  49.2250   2.54467   0.91734   0.49711   2.33433   0.00184   1.26498
  49.2750   2.54419   0.91748   0.49721   2.33424   0.00223   1.26500
  49.3250   2.54350   0.91768   0.49735   2.33411   0.00282   1.26502
  49.3750   2.54253   0.91795   0.49756   2.33392   0.00363   1.26505
  49.4250   2.54117   0.91834   0.49784   2.33366   0.00477   1.26510
  49.4750   2.53925   0.91889   0.49824   2.33330   0.00638   1.26517
  49.5250   2.53652   0.91968   0.49882   2.33278   0.00867   1.26525
  49.5750   2.53266   0.92079   0.49962   2.33204   0.01191   1.26537
  49.6250   2.52718   0.92237   0.50077   2.33098   0.01654   1.26553
  49.6750   2.51939   0.92461   0.50239   2.32945   0.02310   1.26572
  49.7250   2.50820   0.92783   0.50472   2.32719   0.03253   1.26594
  49.7750   2.49196   0.93247   0.50808   2.32368   0.04616   1.26611
  49.8250   2.46786   0.93920   0.51299   2.31781   0.06617   1.26600
  49.8750   2.43075   0.94904   0.52038   2.30689   0.09621   1.26491
  49.9250   2.37011   0.96354   0.53202   2.28369   0.14319   1.26095
  49.9750   2.26297   0.98448   0.55215   2.22784   0.22186   1.24950
