      xx/10.          rhoa          temp           vel      vel*rhoa
         [-]           [-]           [-]           [-]           [-]
 1.02500E+00   2.38413E+00   8.99272E-01   5.56012E-01   1.32560E+00
 1.07500E+00   2.38409E+00   8.99283E-01   5.55889E-01   1.32529E+00
 1.12500E+00   2.38467E+00   8.99326E-01   5.55550E-01   1.32480E+00
 1.17500E+00   2.38563E+00   8.99386E-01   5.55079E-01   1.32421E+00
 1.22500E+00   2.38683E+00   8.99455E-01   5.54528E-01   1.32356E+00
 1.27500E+00   2.38816E+00   8.99528E-01   5.53934E-01   1.32289E+00
 1.32500E+00   2.38958E+00   8.99599E-01   5.53319E-01   1.32220E+00
 1.37500E+00   2.39103E+00   8.99667E-01   5.52696E-01   1.32151E+00
 1.42500E+00   2.39250E+00   8.99731E-01   5.52074E-01   1.32084E+00
 1.47500E+00   2.39397E+00   8.99789E-01   5.51461E-01   1.32018E+00
 1.52500E+00   2.39542E+00   8.99842E-01   5.50858E-01   1.31954E+00
 1.57500E+00   2.39686E+00   8.99887E-01   5.50269E-01   1.31892E+00
 1.62500E+00   2.39827E+00   8.99927E-01   5.49695E-01   1.31831E+00
 1.67500E+00   2.39965E+00   8.99960E-01   5.49136E-01   1.31773E+00
 1.72500E+00   2.40101E+00   8.99986E-01   5.48593E-01   1.31717E+00
 1.77500E+00   2.40233E+00   9.00007E-01   5.48066E-01   1.31664E+00
 1.82500E+00   2.40363E+00   9.00021E-01   5.47555E-01   1.31612E+00
 1.87500E+00   2.40491E+00   9.00029E-01   5.47059E-01   1.31563E+00
 1.92500E+00   2.40615E+00   9.00030E-01   5.46580E-01   1.31515E+00
 1.97500E+00   2.40736E+00   9.00027E-01   5.46116E-01   1.31470E+00
 2.02500E+00   2.40855E+00   9.00018E-01   5.45667E-01   1.31426E+00
 2.07500E+00   2.40970E+00   9.00004E-01   5.45233E-01   1.31385E+00
 2.12500E+00   2.41083E+00   8.99984E-01   5.44813E-01   1.31345E+00
 2.17500E+00   2.41193E+00   8.99960E-01   5.44408E-01   1.31307E+00
 2.22500E+00   2.41300E+00   8.99931E-01   5.44017E-01   1.31271E+00
 2.27500E+00   2.41405E+00   8.99897E-01   5.43639E-01   1.31237E+00
 2.32500E+00   2.41507E+00   8.99859E-01   5.43275E-01   1.31205E+00
 2.37500E+00   2.41607E+00   8.99817E-01   5.42923E-01   1.31174E+00
 2.42500E+00   2.41703E+00   8.99772E-01   5.42585E-01   1.31145E+00
 2.47500E+00   2.41798E+00   8.99722E-01   5.42258E-01   1.31117E+00
 2.52500E+00   2.41890E+00   8.99669E-01   5.41943E-01   1.31090E+00
 2.57500E+00   2.41979E+00   8.99613E-01   5.41639E-01   1.31065E+00
 2.62500E+00   2.42066E+00   8.99554E-01   5.41347E-01   1.31042E+00
 2.67500E+00   2.42151E+00   8.99492E-01   5.41066E-01   1.31020E+00
 2.72500E+00   2.42234E+00   8.99427E-01   5.40794E-01   1.30999E+00
 2.77500E+00   2.42314E+00   8.99360E-01   5.40533E-01   1.30979E+00
 2.82500E+00   2.42392E+00   8.99290E-01   5.40282E-01   1.30960E+00
 2.87500E+00   2.42468E+00   8.99219E-01   5.40040E-01   1.30943E+00
 2.92500E+00   2.42542E+00   8.99145E-01   5.39807E-01   1.30926E+00
