      xx/10.      ss_ratio
         [-]           [-]
 1.02500E+00   1.49560E+01
 1.07500E+00   1.49573E+01
 1.12500E+00   1.49573E+01
 1.17500E+00   1.49564E+01
 1.22500E+00   1.49550E+01
 1.27500E+00   1.49531E+01
 1.32500E+00   1.49510E+01
 1.37500E+00   1.49487E+01
 1.42500E+00   1.49462E+01
 1.47500E+00   1.49436E+01
 1.52500E+00   1.49409E+01
 1.57500E+00   1.49380E+01
 1.62500E+00   1.49350E+01
 1.67500E+00   1.49318E+01
 1.72500E+00   1.49284E+01
 1.77500E+00   1.49251E+01
 1.82500E+00   1.49216E+01
 1.87500E+00   1.49179E+01
 1.92500E+00   1.49141E+01
 1.97500E+00   1.49103E+01
 2.02500E+00   1.49063E+01
 2.07500E+00   1.49022E+01
 2.12500E+00   1.48979E+01
 2.17500E+00   1.48936E+01
 2.22500E+00   1.48891E+01
 2.27500E+00   1.48845E+01
 2.32500E+00   1.48798E+01
 2.37500E+00   1.48749E+01
 2.42500E+00   1.48700E+01
 2.47500E+00   1.48649E+01
 2.52500E+00   1.48598E+01
 2.57500E+00   1.48545E+01
 2.62500E+00   1.48491E+01
 2.67500E+00   1.48436E+01
 2.72500E+00   1.48380E+01
 2.77500E+00   1.48322E+01
 2.82500E+00   1.48263E+01
 2.87500E+00   1.48204E+01
 2.92500E+00   1.48143E+01
 2.97500E+00   1.48081E+01
 3.02500E+00   1.48017E+01
 3.07500E+00   1.47952E+01
 3.12500E+00   1.47886E+01
 3.17500E+00   1.47819E+01
 3.22500E+00   1.47752E+01
 3.27500E+00   1.47683E+01
 3.32500E+00   1.47613E+01
 3.37500E+00   1.47542E+01
 3.42500E+00   1.47470E+01
 3.47500E+00   1.47397E+01
 3.52500E+00   1.47323E+01
 3.57500E+00   1.47247E+01
 3.62500E+00   1.47171E+01
 3.67500E+00   1.47094E+01
 3.72500E+00   1.47016E+01
 3.77500E+00   1.46936E+01
 3.82500E+00   1.46857E+01
 3.87500E+00   1.46777E+01
 3.92500E+00   1.46695E+01
 3.97500E+00   1.46612E+01
 4.02500E+00   1.46529E+01
 4.07500E+00   1.46444E+01
 4.12500E+00   1.46359E+01
 4.17500E+00   1.46273E+01
 4.22500E+00   1.46187E+01
 4.27500E+00   1.46099E+01
 4.32500E+00   1.46010E+01
 4.37500E+00   1.45921E+01
 4.42500E+00   1.45830E+01
 4.47500E+00   1.45738E+01
 4.52500E+00   1.45646E+01
 4.57500E+00   1.45554E+01
 4.62500E+00   1.45461E+01
 4.67500E+00   1.45368E+01
 4.72500E+00   1.45273E+01
 4.77500E+00   1.45178E+01
 4.82500E+00   1.45082E+01
 4.87500E+00   1.44985E+01
 4.92500E+00   1.44887E+01
 4.97500E+00   1.44789E+01
 5.02500E+00   1.44691E+01
 5.07500E+00   1.44593E+01
 5.12500E+00   1.44493E+01
 5.17500E+00   1.44394E+01
 5.22500E+00   1.44293E+01
 5.27500E+00   1.44192E+01
 5.32500E+00   1.44091E+01
 5.37500E+00   1.43989E+01
 5.42500E+00   1.43887E+01
 5.47500E+00   1.43784E+01
 5.52500E+00   1.43682E+01
 5.57500E+00   1.43578E+01
 5.62500E+00   1.43475E+01
 5.67500E+00   1.43371E+01
 5.72500E+00   1.43267E+01
 5.77500E+00   1.43162E+01
 5.82500E+00   1.43057E+01
 5.87500E+00   1.42952E+01
 5.92500E+00   1.42847E+01
 5.97500E+00   1.42741E+01
 6.02500E+00   1.42636E+01
