
   time:   88.801 dt:   0.08889 mass:   2.308
      X         N         T         U         P        Q         JM
   0.0250   2.69854   0.93033   0.48708   2.51054   0.08057   1.31441
   0.0750   2.50585   0.90591   0.54027   2.27006   0.05063   1.35382
   0.1250   2.40445   0.89305   0.57030   2.14728   0.03064   1.37127
   0.1750   2.34669   0.88559   0.58801   2.07820   0.01864   1.37987
   0.2250   2.31212   0.88105   0.59878   2.03710   0.01146   1.38445
   0.2750   2.29080   0.87821   0.60548   2.01181   0.00709   1.38704
   0.3250   2.27737   0.87641   0.60972   1.99592   0.00438   1.38857
   0.3750   2.26880   0.87527   0.61244   1.98581   0.00264   1.38949
   0.4250   2.26326   0.87454   0.61418   1.97932   0.00149   1.39006
   0.4750   2.25967   0.87408   0.61531   1.97514   0.00074   1.39040
   0.5250   2.25733   0.87379   0.61604   1.97244   0.00024   1.39061
   0.5750   2.25580   0.87362   0.61651   1.97071   0.00012   1.39072
   0.6250   2.25481   0.87351   0.61681   1.96960   0.00035   1.39078
   0.6750   2.25417   0.87345   0.61699   1.96891   0.00052   1.39080
   0.7250   2.25375   0.87342   0.61710   1.96848   0.00064   1.39079
   0.7750   2.25349   0.87341   0.61717   1.96823   0.00072   1.39077
   0.8250   2.25332   0.87342   0.61720   1.96810   0.00078   1.39074
   0.8750   2.25322   0.87344   0.61721   1.96804   0.00082   1.39070
   0.9250   2.25316   0.87346   0.61720   1.96803   0.00086   1.39066
   0.9750   2.25311   0.87349   0.61720   1.96806   0.00091   1.39061
