      xx/10.      ss_ratio
         [-]           [-]
 1.02500E+00   2.63079E+01
 1.07500E+00   2.62426E+01
 1.12500E+00   2.61797E+01
 1.17500E+00   2.61188E+01
 1.22500E+00   2.60594E+01
 1.27500E+00   2.60011E+01
 1.32500E+00   2.59441E+01
 1.37500E+00   2.58879E+01
 1.42500E+00   2.58324E+01
 1.47500E+00   2.57778E+01
 1.52500E+00   2.57240E+01
 1.57500E+00   2.56708E+01
 1.62500E+00   2.56183E+01
 1.67500E+00   2.55664E+01
 1.72500E+00   2.55152E+01
 1.77500E+00   2.54647E+01
 1.82500E+00   2.54150E+01
 1.87500E+00   2.53657E+01
 1.92500E+00   2.53170E+01
 1.97500E+00   2.52688E+01
 2.02500E+00   2.52211E+01
 2.07500E+00   2.51741E+01
 2.12500E+00   2.51274E+01
 2.17500E+00   2.50812E+01
 2.22500E+00   2.50357E+01
 2.27500E+00   2.49907E+01
 2.32500E+00   2.49461E+01
 2.37500E+00   2.49022E+01
 2.42500E+00   2.48586E+01
 2.47500E+00   2.48157E+01
 2.52500E+00   2.47731E+01
 2.57500E+00   2.47311E+01
 2.62500E+00   2.46894E+01
 2.67500E+00   2.46480E+01
 2.72500E+00   2.46071E+01
 2.77500E+00   2.45667E+01
 2.82500E+00   2.45267E+01
 2.87500E+00   2.44871E+01
 2.92500E+00   2.44480E+01
 2.97500E+00   2.44092E+01
 3.02500E+00   2.43707E+01
 3.07500E+00   2.43327E+01
 3.12500E+00   2.42952E+01
 3.17500E+00   2.42580E+01
 3.22500E+00   2.42211E+01
 3.27500E+00   2.41845E+01
 3.32500E+00   2.41482E+01
 3.37500E+00   2.41124E+01
 3.42500E+00   2.40770E+01
 3.47500E+00   2.40418E+01
 3.52500E+00   2.40067E+01
 3.57500E+00   2.39720E+01
 3.62500E+00   2.39378E+01
 3.67500E+00   2.39037E+01
 3.72500E+00   2.38701E+01
 3.77500E+00   2.38367E+01
 3.82500E+00   2.38037E+01
 3.87500E+00   2.37710E+01
 3.92500E+00   2.37385E+01
 3.97500E+00   2.37064E+01
 4.02500E+00   2.36744E+01
 4.07500E+00   2.36430E+01
 4.12500E+00   2.36117E+01
 4.17500E+00   2.35809E+01
 4.22500E+00   2.35502E+01
 4.27500E+00   2.35196E+01
 4.32500E+00   2.34893E+01
 4.37500E+00   2.34592E+01
 4.42500E+00   2.34293E+01
 4.47500E+00   2.33997E+01
 4.52500E+00   2.33704E+01
 4.57500E+00   2.33413E+01
 4.62500E+00   2.33125E+01
 4.67500E+00   2.32840E+01
 4.72500E+00   2.32555E+01
 4.77500E+00   2.32274E+01
 4.82500E+00   2.31994E+01
 4.87500E+00   2.31717E+01
 4.92500E+00   2.31442E+01
 4.97500E+00   2.31169E+01
 5.02500E+00   2.30898E+01
 5.07500E+00   2.30628E+01
 5.12500E+00   2.30362E+01
 5.17500E+00   2.30098E+01
 5.22500E+00   2.29835E+01
 5.27500E+00   2.29575E+01
 5.32500E+00   2.29315E+01
 5.37500E+00   2.29057E+01
 5.42500E+00   2.28800E+01
 5.47500E+00   2.28545E+01
 5.52500E+00   2.28294E+01
 5.57500E+00   2.28043E+01
 5.62500E+00   2.27795E+01
 5.67500E+00   2.27549E+01
 5.72500E+00   2.27304E+01
 5.77500E+00   2.27060E+01
 5.82500E+00   2.26818E+01
 5.87500E+00   2.26579E+01
 5.92500E+00   2.26341E+01
 5.97500E+00   2.26105E+01
 6.02500E+00   2.25870E+01
 6.07500E+00   2.25636E+01
 6.12500E+00   2.25405E+01
 6.17500E+00   2.25175E+01
 6.22500E+00   2.24947E+01
 6.27500E+00   2.24720E+01
 6.32500E+00   2.24495E+01
 6.37500E+00   2.24272E+01
 6.42500E+00   2.24048E+01
 6.47500E+00   2.23827E+01
 6.52500E+00   2.23608E+01
 6.57500E+00   2.23389E+01
 6.62500E+00   2.23173E+01
 6.67500E+00   2.22957E+01
 6.72500E+00   2.22743E+01
 6.77500E+00   2.22530E+01
 6.82500E+00   2.22319E+01
 6.87500E+00   2.22109E+01
 6.92500E+00   2.21901E+01
 6.97500E+00   2.21696E+01
 7.02500E+00   2.21490E+01
 7.07500E+00   2.21285E+01
 7.12500E+00   2.21083E+01
 7.17500E+00   2.20882E+01
 7.22500E+00   2.20681E+01
 7.27500E+00   2.20483E+01
 7.32500E+00   2.20285E+01
 7.37500E+00   2.20087E+01
 7.42500E+00   2.19891E+01
 7.47500E+00   2.19697E+01
 7.52500E+00   2.19503E+01
 7.57500E+00   2.19310E+01
 7.62500E+00   2.19118E+01
 7.67500E+00   2.18927E+01
 7.72500E+00   2.18738E+01
 7.77500E+00   2.18549E+01
 7.82500E+00   2.18362E+01
 7.87500E+00   2.18175E+01
 7.92500E+00   2.17990E+01
 7.97500E+00   2.17807E+01
 8.02500E+00   2.17625E+01
 8.07500E+00   2.17442E+01
 8.12500E+00   2.17261E+01
 8.17500E+00   2.17083E+01
 8.22500E+00   2.16905E+01
 8.27500E+00   2.16727E+01
 8.32500E+00   2.16550E+01
 8.37500E+00   2.16374E+01
 8.42500E+00   2.16200E+01
 8.47500E+00   2.16027E+01
 8.52500E+00   2.15855E+01
 8.57500E+00   2.15685E+01
 8.62500E+00   2.15513E+01
 8.67500E+00   2.15342E+01
 8.72500E+00   2.15172E+01
 8.77500E+00   2.15003E+01
 8.82500E+00   2.14836E+01
 8.87500E+00   2.14669E+01
 8.92500E+00   2.14503E+01
 8.97500E+00   2.14338E+01
 9.02500E+00   2.14174E+01
 9.07500E+00   2.14010E+01
 9.12500E+00   2.13848E+01
 9.17500E+00   2.13685E+01
 9.22500E+00   2.13524E+01
 9.27500E+00   2.13364E+01
 9.32500E+00   2.13204E+01
 9.37500E+00   2.13043E+01
 9.42500E+00   2.12885E+01
 9.47500E+00   2.12730E+01
 9.52500E+00   2.12575E+01
 9.57500E+00   2.12419E+01
 9.62500E+00   2.12264E+01
 9.67500E+00   2.12110E+01
 9.72500E+00   2.11957E+01
 9.77500E+00   2.11804E+01
 9.82500E+00   2.11652E+01
 9.87500E+00   2.11500E+01
 9.92500E+00   2.11349E+01
 9.97500E+00   2.11199E+01
 1.00250E+01   2.11051E+01
 1.00750E+01   2.10901E+01
 1.01250E+01   2.10752E+01
 1.01750E+01   2.10604E+01
 1.02250E+01   2.10458E+01
 1.02750E+01   2.10312E+01
 1.03250E+01   2.10167E+01
 1.03750E+01   2.10022E+01
 1.04250E+01   2.09877E+01
 1.04750E+01   2.09733E+01
 1.05250E+01   2.09590E+01
 1.05750E+01   2.09448E+01
 1.06250E+01   2.09305E+01
 1.06750E+01   2.09161E+01
 1.07250E+01   2.09017E+01
 1.07750E+01   2.08875E+01
 1.08250E+01   2.08734E+01
 1.08750E+01   2.08593E+01
 1.09250E+01   2.08452E+01
 1.09750E+01   2.08313E+01
 1.10250E+01   2.08173E+01
 1.10750E+01   2.08032E+01
 1.11250E+01   2.07893E+01
 1.11750E+01   2.07754E+01
 1.12250E+01   2.07614E+01
 1.12750E+01   2.07475E+01
 1.13250E+01   2.07335E+01
 1.13750E+01   2.07197E+01
 1.14250E+01   2.07058E+01
 1.14750E+01   2.06920E+01
 1.15250E+01   2.06781E+01
 1.15750E+01   2.06642E+01
 1.16250E+01   2.06504E+01
 1.16750E+01   2.06365E+01
 1.17250E+01   2.06227E+01
 1.17750E+01   2.06090E+01
 1.18250E+01   2.05952E+01
 1.18750E+01   2.05812E+01
 1.19250E+01   2.05674E+01
 1.19750E+01   2.05535E+01
 1.20250E+01   2.05394E+01
 1.20750E+01   2.05255E+01
 1.21250E+01   2.05113E+01
 1.21750E+01   2.04971E+01
 1.22250E+01   2.04827E+01
 1.22750E+01   2.04683E+01
 1.23250E+01   2.04539E+01
 1.23750E+01   2.04395E+01
 1.24250E+01   2.04249E+01
 1.24750E+01   2.04101E+01
 1.25250E+01   2.03952E+01
 1.25750E+01   2.03802E+01
 1.26250E+01   2.03651E+01
 1.26750E+01   2.03498E+01
 1.27250E+01   2.03345E+01
 1.27750E+01   2.03189E+01
 1.28250E+01   2.03031E+01
 1.28750E+01   2.02872E+01
 1.29250E+01   2.02711E+01
 1.29750E+01   2.02548E+01
 1.30250E+01   2.02385E+01
 1.30750E+01   2.02218E+01
 1.31250E+01   2.02048E+01
 1.31750E+01   2.01876E+01
 1.32250E+01   2.01700E+01
 1.32750E+01   2.01521E+01
 1.33250E+01   2.01339E+01
 1.33750E+01   2.01155E+01
 1.34250E+01   2.00966E+01
 1.34750E+01   2.00775E+01
 1.35250E+01   2.00579E+01
 1.35750E+01   2.00380E+01
 1.36250E+01   2.00177E+01
 1.36750E+01   1.99967E+01
 1.37250E+01   1.99752E+01
 1.37750E+01   1.99534E+01
 1.38250E+01   1.99312E+01
 1.38750E+01   1.99083E+01
 1.39250E+01   1.98847E+01
 1.39750E+01   1.98606E+01
 1.40250E+01   1.98359E+01
 1.40750E+01   1.98107E+01
 1.41250E+01   1.97848E+01
 1.41750E+01   1.97583E+01
 1.42250E+01   1.97309E+01
 1.42750E+01   1.97027E+01
 1.43250E+01   1.96737E+01
