      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   2.51389E+20   8.39586E+10   3.42499E+01   5.27243E-05   3.33979E-10
 1.07500E+00   3.97151E+20   1.25126E+11   5.41388E+01   8.33645E-05   3.15060E-10
 1.12500E+00   5.40584E+20   1.47284E+11   7.37388E+01   1.13582E-04   2.72453E-10
 1.17500E+00   6.81769E+20   1.94157E+11   9.30592E+01   1.43389E-04   2.84783E-10
 1.22500E+00   8.20777E+20   2.45244E+11   1.12108E+02   1.72799E-04   2.98796E-10
 1.27500E+00   9.57670E+20   2.96544E+11   1.30894E+02   2.01821E-04   3.09651E-10
 1.32500E+00   1.09251E+21   3.47285E+11   1.49422E+02   2.30467E-04   3.17879E-10
 1.37500E+00   1.22535E+21   3.97332E+11   1.67701E+02   2.58744E-04   3.24261E-10
 1.42500E+00   1.35624E+21   4.46675E+11   1.85735E+02   2.86662E-04   3.29348E-10
 1.47500E+00   1.48524E+21   4.95327E+11   2.03531E+02   3.14230E-04   3.33499E-10
 1.52500E+00   1.61239E+21   5.43307E+11   2.21096E+02   3.41456E-04   3.36957E-10
 1.57500E+00   1.73775E+21   5.90632E+11   2.38433E+02   3.68347E-04   3.39884E-10
 1.62500E+00   1.86134E+21   6.37319E+11   2.55549E+02   3.94911E-04   3.42398E-10
 1.67500E+00   1.98322E+21   6.83384E+11   2.72448E+02   4.21155E-04   3.44583E-10
 1.72500E+00   2.10343E+21   7.28840E+11   2.89135E+02   4.47086E-04   3.46501E-10
 1.77500E+00   2.22200E+21   7.73699E+11   3.05615E+02   4.72710E-04   3.48200E-10
 1.82500E+00   2.33896E+21   8.17973E+11   3.21892E+02   4.98033E-04   3.49716E-10
 1.87500E+00   2.45436E+21   8.61672E+11   3.37969E+02   5.23060E-04   3.51078E-10
 1.92500E+00   2.56822E+21   9.04809E+11   3.53851E+02   5.47798E-04   3.52310E-10
 1.97500E+00   2.68058E+21   9.47397E+11   3.69541E+02   5.72252E-04   3.53431E-10
 2.02500E+00   2.79145E+21   9.89447E+11   3.85042E+02   5.96426E-04   3.54456E-10
 2.07500E+00   2.90089E+21   1.03097E+12   4.00359E+02   6.20325E-04   3.55398E-10
 2.12500E+00   3.00891E+21   1.07197E+12   4.15495E+02   6.43956E-04   3.56267E-10
 2.17500E+00   3.11553E+21   1.11247E+12   4.30452E+02   6.67320E-04   3.57073E-10
 2.22500E+00   3.22079E+21   1.15247E+12   4.45235E+02   6.90425E-04   3.57824E-10
 2.27500E+00   3.32470E+21   1.19199E+12   4.59845E+02   7.13272E-04   3.58526E-10
 2.32500E+00   3.42730E+21   1.23103E+12   4.74285E+02   7.35867E-04   3.59184E-10
 2.37500E+00   3.52860E+21   1.26961E+12   4.88558E+02   7.58212E-04   3.59805E-10
 2.42500E+00   3.62861E+21   1.30772E+12   5.02665E+02   7.80311E-04   3.60392E-10
 2.47500E+00   3.72735E+21   1.34539E+12   5.16609E+02   8.02165E-04   3.60949E-10
 2.52500E+00   3.82485E+21   1.38261E+12   5.30392E+02   8.23778E-04   3.61480E-10
 2.57500E+00   3.92110E+21   1.41939E+12   5.44014E+02   8.45152E-04   3.61987E-10
 2.62500E+00   4.01613E+21   1.45574E+12   5.57478E+02   8.66288E-04   3.62472E-10
 2.67500E+00   4.10994E+21   1.49165E+12   5.70783E+02   8.87187E-04   3.62938E-10
 2.72500E+00   4.20252E+21   1.52714E+12   5.83930E+02   9.07851E-04   3.63387E-10
 2.77500E+00   4.29390E+21   1.56221E+12   5.96920E+02   9.28278E-04   3.63821E-10
 2.82500E+00   4.38406E+21   1.59686E+12   6.09752E+02   9.48469E-04   3.64241E-10
 2.87500E+00   4.47301E+21   1.63109E+12   6.22426E+02   9.68423E-04   3.64651E-10
 2.92500E+00   4.56073E+21   1.66490E+12   6.34941E+02   9.88139E-04   3.65051E-10
 2.97500E+00   4.64723E+21   1.69830E+12   6.47296E+02   1.00761E-03   3.65443E-10
 3.02500E+00   4.73247E+21   1.73128E+12   6.59489E+02   1.02685E-03   3.65831E-10
 3.07500E+00   4.81645E+21   1.76386E+12   6.71517E+02   1.04583E-03   3.66216E-10
 3.12500E+00   4.89915E+21   1.79603E+12   6.83377E+02   1.06456E-03   3.66599E-10
 3.17500E+00   4.98054E+21   1.82777E+12   6.95066E+02   1.08304E-03   3.66983E-10
 3.22500E+00   5.06059E+21   1.85910E+12   7.06579E+02   1.10125E-03   3.67368E-10
 3.27500E+00   5.13925E+21   1.88999E+12   7.17913E+02   1.11919E-03   3.67756E-10
 3.32500E+00   5.21650E+21   1.92045E+12   7.29061E+02   1.13686E-03   3.68149E-10
 3.37500E+00   5.29228E+21   1.95046E+12   7.40017E+02   1.15423E-03   3.68548E-10
 3.42500E+00   5.36654E+21   1.98001E+12   7.50773E+02   1.17130E-03   3.68955E-10
 3.47500E+00   5.43921E+21   2.00909E+12   7.61321E+02   1.18806E-03   3.69372E-10
 3.52500E+00   5.51022E+21   2.03768E+12   7.71652E+02   1.20450E-03   3.69800E-10
 3.57500E+00   5.57949E+21   2.06577E+12   7.81755E+02   1.22059E-03   3.70244E-10
 3.62500E+00   5.64694E+21   2.09334E+12   7.91618E+02   1.23632E-03   3.70702E-10
 3.67500E+00   5.71247E+21   2.12035E+12   8.01228E+02   1.25166E-03   3.71180E-10
 3.72500E+00   5.77595E+21   2.14680E+12   8.10571E+02   1.26661E-03   3.71679E-10
 3.77500E+00   5.83729E+21   2.17265E+12   8.19630E+02   1.28112E-03   3.72202E-10
 3.82500E+00   5.89634E+21   2.19787E+12   8.28388E+02   1.29518E-03   3.72752E-10
 3.87500E+00   5.95297E+21   2.22244E+12   8.36825E+02   1.30876E-03   3.73332E-10
 3.92500E+00   6.00702E+21   2.24630E+12   8.44921E+02   1.32182E-03   3.73946E-10
 3.97500E+00   6.05831E+21   2.26942E+12   8.52653E+02   1.33433E-03   3.74597E-10
 4.02500E+00   6.10666E+21   2.29176E+12   8.59995E+02   1.34625E-03   3.75288E-10
 4.07500E+00   6.15189E+21   2.31326E+12   8.66921E+02   1.35754E-03   3.76024E-10
