
   time:  177.686 dt:   0.08889 mass:   1.000
      X         N         T         U         P        Q         JM
  49.0250   1.00034   0.99930  -0.00013   0.99964   0.00010  -0.00013
  49.0750   1.00032   0.99932  -0.00012   0.99965   0.00010  -0.00013
  49.1250   1.00030   0.99935  -0.00012   0.99965   0.00010  -0.00012
  49.1750   1.00028   0.99937  -0.00012   0.99966   0.00010  -0.00012
  49.2250   1.00026   0.99939  -0.00012   0.99966   0.00010  -0.00012
  49.2750   1.00025   0.99942  -0.00012   0.99966   0.00010  -0.00012
  49.3250   1.00023   0.99944  -0.00012   0.99966   0.00011  -0.00012
  49.3750   1.00021   0.99946  -0.00012   0.99967   0.00011  -0.00012
  49.4250   1.00019   0.99948  -0.00012   0.99967   0.00011  -0.00012
  49.4750   1.00017   0.99950  -0.00012   0.99967   0.00011  -0.00012
  49.5250   1.00015   0.99952  -0.00011   0.99967   0.00011  -0.00011
  49.5750   1.00013   0.99955  -0.00011   0.99968   0.00011  -0.00011
  49.6250   1.00011   0.99957  -0.00011   0.99968   0.00011  -0.00011
  49.6750   1.00008   0.99960  -0.00011   0.99968   0.00011  -0.00011
  49.7250   1.00006   0.99962  -0.00011   0.99968   0.00012  -0.00011
  49.7750   1.00004   0.99964  -0.00011   0.99969   0.00012  -0.00011
  49.8250   1.00002   0.99967  -0.00011   0.99969   0.00012  -0.00010
  49.8750   1.00000   0.99970  -0.00010   0.99970   0.00012  -0.00010
  49.9250   0.99998   0.99973  -0.00010   0.99971   0.00012  -0.00010
  49.9750   0.99996   0.99977  -0.00010   0.99972   0.00012  -0.00010
