
   time: 2666.069 dt:   0.08889 mass:   2.502
      X         N         T         U         P        Q         JM
  49.0250   2.54285   0.91804   0.49712   2.33443   0.00108   1.26409
  49.0750   2.54278   0.91807   0.49713   2.33445   0.00118   1.26410
  49.1250   2.54265   0.91811   0.49716   2.33444   0.00132   1.26412
  49.1750   2.54245   0.91817   0.49721   2.33441   0.00150   1.26413
  49.2250   2.54213   0.91826   0.49728   2.33435   0.00180   1.26416
  49.2750   2.54167   0.91840   0.49738   2.33426   0.00221   1.26419
  49.3250   2.54101   0.91858   0.49753   2.33412   0.00276   1.26422
  49.3750   2.54007   0.91885   0.49773   2.33394   0.00359   1.26427
  49.4250   2.53872   0.91923   0.49802   2.33367   0.00473   1.26433
  49.4750   2.53682   0.91977   0.49842   2.33330   0.00634   1.26440
  49.5250   2.53412   0.92055   0.49899   2.33278   0.00863   1.26450
  49.5750   2.53029   0.92165   0.49979   2.33204   0.01187   1.26462
  49.6250   2.52485   0.92322   0.50094   2.33098   0.01648   1.26479
  49.6750   2.51710   0.92545   0.50256   2.32945   0.02303   1.26500
  49.7250   2.50596   0.92866   0.50489   2.32719   0.03246   1.26523
  49.7750   2.48978   0.93328   0.50824   2.32367   0.04607   1.26541
  49.8250   2.46578   0.93999   0.51315   2.31780   0.06602   1.26530
  49.8750   2.42880   0.94980   0.52051   2.30688   0.09599   1.26422
  49.9250   2.36835   0.96425   0.53213   2.28368   0.14286   1.26027
  49.9750   2.26151   0.98511   0.55221   2.22783   0.22131   1.24884
