
   time:  444.366 dt:   0.08889 mass:   2.322
      X         N         T         U         P        Q         JM
   0.0250   2.70629   0.93148   0.48385   2.52085   0.07926   1.30944
   0.0750   2.51539   0.90740   0.53615   2.28247   0.04952   1.34863
   0.1250   2.41532   0.89479   0.56553   2.16121   0.02978   1.36594
   0.1750   2.35856   0.88752   0.58276   2.09328   0.01799   1.37446
   0.2250   2.32477   0.88311   0.59318   2.05303   0.01100   1.37900
   0.2750   2.30402   0.88036   0.59963   2.02837   0.00679   1.38157
   0.3250   2.29101   0.87862   0.60370   2.01294   0.00418   1.38309
   0.3750   2.28273   0.87752   0.60630   2.00314   0.00251   1.38403
   0.4250   2.27741   0.87682   0.60797   1.99687   0.00144   1.38461
   0.4750   2.27397   0.87636   0.60905   1.99282   0.00073   1.38497
   0.5250   2.27173   0.87608   0.60976   1.99021   0.00025   1.38521
   0.5750   2.27026   0.87590   0.61022   1.98851   0.00008   1.38535
   0.6250   2.26930   0.87578   0.61052   1.98741   0.00030   1.38545
   0.6750   2.26868   0.87571   0.61071   1.98670   0.00045   1.38550
   0.7250   2.26827   0.87567   0.61084   1.98624   0.00056   1.38554
   0.7750   2.26800   0.87564   0.61092   1.98595   0.00063   1.38556
   0.8250   2.26781   0.87563   0.61097   1.98576   0.00070   1.38557
   0.8750   2.26770   0.87562   0.61100   1.98565   0.00073   1.38557
   0.9250   2.26761   0.87562   0.61103   1.98557   0.00078   1.38557
   0.9750   2.26753   0.87563   0.61104   1.98553   0.00082   1.38556
