
   time: 1777.397 dt:   0.08889 mass:   2.559
      X         N         T         U         P        Q         JM
   0.0250   2.85322   0.95251   0.42469   2.71773   0.05653   1.21174
   0.0750   2.69338   0.93424   0.46273   2.51627   0.03122   1.24631
   0.1250   2.61529   0.92560   0.48205   2.42071   0.01617   1.26070
   0.1750   2.57448   0.92107   0.49224   2.37127   0.00821   1.26726
   0.2250   2.55225   0.91857   0.49778   2.34442   0.00408   1.27045
   0.2750   2.53980   0.91716   0.50085   2.32941   0.00190   1.27207
   0.3250   2.53270   0.91637   0.50259   2.32090   0.00069   1.27290
   0.3750   2.52861   0.91593   0.50357   2.31604   0.00001   1.27332
   0.4250   2.52623   0.91570   0.50412   2.31327   0.00039   1.27351
   0.4750   2.52485   0.91559   0.50442   2.31172   0.00065   1.27357
   0.5250   2.52405   0.91554   0.50457   2.31088   0.00080   1.27356
   0.5750   2.52361   0.91554   0.50463   2.31046   0.00090   1.27350
   0.6250   2.52337   0.91556   0.50465   2.31029   0.00097   1.27341
   0.6750   2.52325   0.91559   0.50463   2.31026   0.00100   1.27331
   0.7250   2.52321   0.91563   0.50459   2.31032   0.00104   1.27319
   0.7750   2.52322   0.91567   0.50454   2.31044   0.00104   1.27308
   0.8250   2.52327   0.91571   0.50449   2.31058   0.00103   1.27296
   0.8750   2.52334   0.91575   0.50442   2.31075   0.00101   1.27284
   0.9250   2.52345   0.91578   0.50436   2.31092   0.00097   1.27272
   0.9750   2.52360   0.91580   0.50428   2.31112   0.00089   1.27260
