
   time:   88.801 dt:   0.08889 mass:   2.306
      X         N         T         U         P        Q         JM
   0.0250   2.69719   0.93012   0.48765   2.50872   0.08085   1.31530
   0.0750   2.50418   0.90562   0.54101   2.26784   0.05088   1.35477
   0.1250   2.40254   0.89270   0.57118   2.14475   0.03086   1.37228
   0.1750   2.34457   0.88520   0.58899   2.07541   0.01884   1.38093
   0.2250   2.30985   0.88061   0.59985   2.03409   0.01164   1.38556
   0.2750   2.28839   0.87774   0.60663   2.00862   0.00725   1.38820
   0.3250   2.27485   0.87591   0.61093   1.99257   0.00452   1.38977
   0.3750   2.26618   0.87474   0.61370   1.98231   0.00277   1.39074
   0.4250   2.26055   0.87399   0.61549   1.97569   0.00162   1.39135
   0.4750   2.25689   0.87350   0.61666   1.97140   0.00085   1.39174
   0.5250   2.25448   0.87319   0.61743   1.96859   0.00035   1.39199
   0.5750   2.25290   0.87299   0.61794   1.96676   0.00001   1.39215
   0.6250   2.25185   0.87287   0.61827   1.96556   0.00024   1.39225
   0.6750   2.25115   0.87279   0.61849   1.96477   0.00040   1.39231
   0.7250   2.25069   0.87274   0.61864   1.96426   0.00052   1.39235
   0.7750   2.25038   0.87271   0.61873   1.96392   0.00061   1.39237
   0.8250   2.25017   0.87269   0.61879   1.96370   0.00066   1.39238
   0.8750   2.25003   0.87268   0.61883   1.96356   0.00069   1.39239
   0.9250   2.24993   0.87267   0.61886   1.96346   0.00071   1.39239
   0.9750   2.24988   0.87267   0.61887   1.96340   0.00071   1.39238
