
   time: 1066.460 dt:   0.08889 mass:   2.305
      X         N         T         U         P        Q         JM
   0.0250   2.69692   0.93008   0.48777   2.50836   0.08089   1.31547
   0.0750   2.50386   0.90556   0.54115   2.26741   0.05093   1.35496
   0.1250   2.40217   0.89263   0.57135   2.14426   0.03091   1.37247
   0.1750   2.34416   0.88512   0.58918   2.07487   0.01887   1.38113
   0.2250   2.30942   0.88053   0.60006   2.03351   0.01167   1.38578
   0.2750   2.28794   0.87765   0.60685   2.00800   0.00729   1.38842
   0.3250   2.27438   0.87581   0.61116   1.99193   0.00455   1.39001
   0.3750   2.26569   0.87463   0.61393   1.98165   0.00280   1.39098
   0.4250   2.26006   0.87388   0.61574   1.97501   0.00164   1.39160
   0.4750   2.25639   0.87339   0.61691   1.97070   0.00088   1.39199
   0.5250   2.25398   0.87307   0.61769   1.96788   0.00037   1.39225
   0.5750   2.25239   0.87287   0.61820   1.96604   0.00002   1.39242
   0.6250   2.25135   0.87273   0.61853   1.96483   0.00022   1.39253
   0.6750   2.25065   0.87265   0.61875   1.96403   0.00038   1.39260
   0.7250   2.25019   0.87259   0.61890   1.96351   0.00050   1.39265
   0.7750   2.24989   0.87256   0.61900   1.96316   0.00058   1.39268
   0.8250   2.24969   0.87254   0.61906   1.96293   0.00062   1.39270
   0.8750   2.24956   0.87252   0.61910   1.96279   0.00066   1.39271
   0.9250   2.24948   0.87251   0.61913   1.96269   0.00068   1.39272
   0.9750   2.24943   0.87249   0.61914   1.96262   0.00068   1.39272
