      xx/10.        Omega0        Omega1        Omega2           C_l         r_avg
         [-]       [kg^-1]     [m kg^-1]   [m^2 kg^-1]           [-]           [m]
 1.02500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.07500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.12500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.17500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.22500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.27500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.32500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.37500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.42500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.47500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.52500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.57500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.62500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.67500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.72500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.77500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.82500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.87500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.92500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 1.97500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.02500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.07500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.12500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.17500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.22500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.27500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.32500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.37500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.42500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.47500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.52500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.57500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.62500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.67500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.72500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.77500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.82500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.87500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.92500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 2.97500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.02500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.07500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.12500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.17500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.22500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.27500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.32500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.37500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.42500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.47500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.52500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.57500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.62500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.67500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.72500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.77500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
 3.82500E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00           NaN
