
   time: 2666.069 dt:   0.08889 mass:   2.507
      X         N         T         U         P        Q         JM
  49.0250   2.54850   0.91614   0.49668   2.33478   0.00103   1.26579
  49.0750   2.54843   0.91616   0.49670   2.33477   0.00113   1.26581
  49.1250   2.54829   0.91620   0.49673   2.33475   0.00126   1.26583
  49.1750   2.54808   0.91626   0.49679   2.33471   0.00147   1.26585
  49.2250   2.54777   0.91635   0.49686   2.33464   0.00176   1.26588
  49.2750   2.54732   0.91647   0.49696   2.33454   0.00216   1.26591
  49.3250   2.54666   0.91666   0.49710   2.33441   0.00274   1.26595
  49.3750   2.54572   0.91692   0.49731   2.33422   0.00355   1.26600
  49.4250   2.54438   0.91730   0.49759   2.33396   0.00469   1.26607
  49.4750   2.54248   0.91784   0.49800   2.33359   0.00631   1.26615
  49.5250   2.53978   0.91861   0.49857   2.33306   0.00861   1.26625
  49.5750   2.53593   0.91971   0.49938   2.33232   0.01186   1.26639
  49.6250   2.53047   0.92127   0.50052   2.33126   0.01647   1.26656
  49.6750   2.52267   0.92352   0.50216   2.32973   0.02306   1.26678
  49.7250   2.51147   0.92673   0.50449   2.32746   0.03253   1.26701
  49.7750   2.49518   0.93137   0.50786   2.32394   0.04621   1.26720
  49.8250   2.47099   0.93811   0.51279   2.31807   0.06629   1.26711
  49.8750   2.43374   0.94798   0.52020   2.30713   0.09644   1.26603
  49.9250   2.37284   0.96252   0.53189   2.28392   0.14361   1.26209
  49.9750   2.26527   0.98357   0.55209   2.22806   0.22259   1.25064
