
   time:   44.356 dt:   0.08889 mass:   1.000
      X         N         T         U         P        Q         JM
  49.0250   1.00025   0.99951  -0.00003   0.99976   0.00010  -0.00003
  49.0750   1.00023   0.99954  -0.00003   0.99977   0.00010  -0.00003
  49.1250   1.00021   0.99956  -0.00004   0.99978   0.00009  -0.00004
  49.1750   1.00019   0.99959  -0.00004   0.99978   0.00009  -0.00004
  49.2250   1.00018   0.99960  -0.00004   0.99978   0.00009  -0.00004
  49.2750   1.00016   0.99963  -0.00004   0.99979   0.00009  -0.00004
  49.3250   1.00014   0.99964  -0.00004   0.99979   0.00008  -0.00004
  49.3750   1.00013   0.99966  -0.00004   0.99979   0.00008  -0.00004
  49.4250   1.00011   0.99968  -0.00004   0.99979   0.00008  -0.00004
  49.4750   1.00010   0.99969  -0.00004   0.99979   0.00008  -0.00004
  49.5250   1.00009   0.99971  -0.00004   0.99980   0.00007  -0.00004
  49.5750   1.00007   0.99972  -0.00004   0.99980   0.00007  -0.00004
  49.6250   1.00006   0.99974  -0.00004   0.99980   0.00007  -0.00004
  49.6750   1.00005   0.99975  -0.00004   0.99980   0.00007  -0.00004
  49.7250   1.00003   0.99977  -0.00004   0.99980   0.00006  -0.00004
  49.7750   1.00002   0.99978  -0.00004   0.99980   0.00006  -0.00004
  49.8250   1.00001   0.99979  -0.00004   0.99980   0.00006  -0.00004
  49.8750   1.00000   0.99981  -0.00004   0.99981   0.00006  -0.00004
  49.9250   0.99999   0.99982  -0.00004   0.99981   0.00006  -0.00004
  49.9750   0.99998   0.99984  -0.00004   0.99982   0.00006  -0.00004
