
   time:  444.366 dt:   0.08889 mass:   2.306
      X         N         T         U         P        Q         JM
   0.0250   2.69710   0.93011   0.48770   2.50858   0.08087   1.31536
   0.0750   2.50407   0.90560   0.54106   2.26768   0.05091   1.35485
   0.1250   2.40241   0.89267   0.57125   2.14456   0.03090   1.37236
   0.1750   2.34443   0.88516   0.58907   2.07519   0.01886   1.38102
   0.2250   2.30970   0.88057   0.59993   2.03385   0.01167   1.38567
   0.2750   2.28822   0.87769   0.60672   2.00836   0.00728   1.38831
   0.3250   2.27467   0.87586   0.61103   1.99229   0.00455   1.38989
   0.3750   2.26599   0.87468   0.61380   1.98202   0.00280   1.39087
   0.4250   2.26036   0.87392   0.61560   1.97538   0.00165   1.39149
   0.4750   2.25669   0.87343   0.61678   1.97107   0.00088   1.39188
   0.5250   2.25428   0.87312   0.61756   1.96825   0.00038   1.39215
   0.5750   2.25270   0.87291   0.61807   1.96640   0.00002   1.39232
   0.6250   2.25165   0.87278   0.61840   1.96519   0.00021   1.39243
   0.6750   2.25095   0.87269   0.61863   1.96439   0.00037   1.39250
   0.7250   2.25050   0.87264   0.61878   1.96386   0.00049   1.39255
   0.7750   2.25018   0.87260   0.61888   1.96352   0.00057   1.39258
   0.8250   2.24998   0.87258   0.61894   1.96328   0.00062   1.39261
   0.8750   2.24985   0.87256   0.61898   1.96313   0.00065   1.39262
   0.9250   2.24976   0.87255   0.61901   1.96303   0.00067   1.39263
   0.9750   2.24972   0.87253   0.61903   1.96295   0.00067   1.39263
