
   time:  444.366 dt:   0.08889 mass:   1.793
      X         N         T         U         P        Q         JM
  49.0250   1.79573   1.20614   0.52246   2.16589   0.00687   0.93819
  49.0750   1.79583   1.20615   0.52242   2.16604   0.00683   0.93817
  49.1250   1.79589   1.20616   0.52239   2.16613   0.00680   0.93816
  49.1750   1.79592   1.20617   0.52238   2.16618   0.00679   0.93815
  49.2250   1.79595   1.20617   0.52237   2.16621   0.00677   0.93815
  49.2750   1.79597   1.20616   0.52236   2.16624   0.00675   0.93815
  49.3250   1.79599   1.20616   0.52236   2.16625   0.00673   0.93815
  49.3750   1.79601   1.20615   0.52235   2.16626   0.00672   0.93815
  49.4250   1.79603   1.20614   0.52234   2.16627   0.00669   0.93815
  49.4750   1.79605   1.20613   0.52234   2.16627   0.00667   0.93815
  49.5250   1.79608   1.20610   0.52233   2.16626   0.00664   0.93815
  49.5750   1.79611   1.20607   0.52233   2.16623   0.00661   0.93816
  49.6250   1.79612   1.20602   0.52233   2.16615   0.00659   0.93817
  49.6750   1.79610   1.20591   0.52234   2.16593   0.00657   0.93818
  49.7250   1.79598   1.20571   0.52237   2.16543   0.00655   0.93817
  49.7750   1.79559   1.20530   0.52244   2.16422   0.00656   0.93808
  49.8250   1.79446   1.20445   0.52259   2.16133   0.00668   0.93777
  49.8750   1.79129   1.20259   0.52298   2.15418   0.00710   0.93680
  49.9250   1.78254   1.19829   0.52396   2.13600   0.00843   0.93397
  49.9750   1.75898   1.18687   0.52664   2.08769   0.01215   0.92636
