      xx/10.      ss_ratio
         [-]           [-]
 1.02500E+00   2.88071E+01
 1.07500E+00   2.88076E+01
 1.12500E+00   2.88079E+01
 1.17500E+00   2.88082E+01
 1.22500E+00   2.88086E+01
 1.27500E+00   2.88091E+01
 1.32500E+00   2.88098E+01
 1.37500E+00   2.88102E+01
 1.42500E+00   2.88107E+01
 1.47500E+00   2.88112E+01
 1.52500E+00   2.88117E+01
 1.57500E+00   2.88123E+01
 1.62500E+00   2.88128E+01
 1.67500E+00   2.88133E+01
 1.72500E+00   2.88138E+01
 1.77500E+00   2.88142E+01
 1.82500E+00   2.88147E+01
 1.87500E+00   2.88152E+01
 1.92500E+00   2.88157E+01
 1.97500E+00   2.88162E+01
 2.02500E+00   2.88168E+01
 2.07500E+00   2.88172E+01
 2.12500E+00   2.88177E+01
 2.17500E+00   2.88182E+01
 2.22500E+00   2.88185E+01
 2.27500E+00   2.88189E+01
 2.32500E+00   2.88193E+01
 2.37500E+00   2.88197E+01
 2.42500E+00   2.88202E+01
 2.47500E+00   2.88206E+01
 2.52500E+00   2.88211E+01
 2.57500E+00   2.88216E+01
 2.62500E+00   2.88219E+01
 2.67500E+00   2.88224E+01
 2.72500E+00   2.88229E+01
 2.77500E+00   2.88235E+01
 2.82500E+00   2.88238E+01
 2.87500E+00   2.88242E+01
 2.92500E+00   2.88246E+01
 2.97500E+00   2.88249E+01
 3.02500E+00   2.88252E+01
 3.07500E+00   2.88256E+01
 3.12500E+00   2.88261E+01
 3.17500E+00   2.88266E+01
 3.22500E+00   2.88271E+01
 3.27500E+00   2.88277E+01
 3.32500E+00   2.88281E+01
 3.37500E+00   2.88286E+01
 3.42500E+00   2.88292E+01
 3.47500E+00   2.88297E+01
 3.52500E+00   2.88303E+01
 3.57500E+00   2.88308E+01
 3.62500E+00   2.88313E+01
 3.67500E+00   2.88317E+01
 3.72500E+00   2.88320E+01
 3.77500E+00   2.88325E+01
 3.82500E+00   2.88328E+01
 3.87500E+00   2.88333E+01
 3.92500E+00   2.88336E+01
 3.97500E+00   2.88339E+01
 4.02500E+00   2.88344E+01
 4.07500E+00   2.88348E+01
 4.12500E+00   2.88351E+01
 4.17500E+00   2.88356E+01
 4.22500E+00   2.88361E+01
 4.27500E+00   2.88365E+01
 4.32500E+00   2.88371E+01
 4.37500E+00   2.88376E+01
 4.42500E+00   2.88380E+01
 4.47500E+00   2.88384E+01
 4.52500E+00   2.88389E+01
 4.57500E+00   2.88392E+01
 4.62500E+00   2.88397E+01
 4.67500E+00   2.88402E+01
 4.72500E+00   2.88406E+01
